"IDRSSD"	RCONC223	RCONC224	RCONC968	RCONC969	RCONC970	RCONC971	RCONC972	RCONC973	RCONC974	RCONC975	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG419	RCONG420	RCONG421	RCONG422	RCONG423	RCONG424	RCONG425	RCONG426	RCONG427	RCONG428	RCONG429	RCONG430	RCONG431	RCONG432	RCONG433	RCONG434	RCONG435	RCONG436	RCONG437	RCONG438	RCONG439	RCONG440	RCONG441	RCONG442	RCONG443	RCONG444	RCONG445	RCONG446	RCONG447	RCONG448	RCONG449	RCONG450	RCONG451	RCONG452	RCONG453	RCONG454	RCONG455	RCONG456	RCONG457	RCONG458	RCONG459	RCONG460	RCONG461	RCONG462	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	RCONJ477	RCONJ478	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
14052	0	0	0	0	0	0	0	0	0	0	0	2	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1149	0	198										
14155	0	0	0	0	0	0	0	0	0	0	6405	949	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																492	0	5534										
14650	0	76	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																24	0	1										
14753	0	0	0	0	0	0	0	0	0	0	0	4	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																319	0	4475										
14865	0	0	0	0	0	0	0	0	0	0	0	555	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																6378	0	30855										
14977	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	0										
16458	0	0	0	0	0	0	0	0	0	0	0	205	3182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																9244	0	8063										
16551	0	0	0	0	0	0	0	0	0	0	0	730	2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																4720	0	248										
16748	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																763	0	1414										
16944	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																79	0	0										
16953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	43										
17110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																4523	0	43408										
17147	0	0	0	0	0	0	0	0	0	0	0	5750	26743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	260989	0	105839										
17259	0	0	0	0	0	0	0	0	0	0	0	240	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	587										
17464	0	0	0	0	0	0	0	0	0	0	0	0	9185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														15305	9767	61965	0	51707										
17950	0	0	0	0	0	0	0	0	0	0	0	1231	1465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																4267	0	7782										
18050	0	1132	0	0	0	0	0	0	0	0	0	363	3237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	2223	0	2094										
18135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																6545	0	731										
18377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	0										
18827	0	0	0	0	0	0	0	0	0	0	0	401	1748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	6060	0	0										
18836	0	0	0	0	0	0	0	0	0	0	0	176	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																436	0	1671										
18854	0	0	0	0	0	0	0	0	0	0	2100	2598	1714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																10770	0	6039										
18957	0	0	0	0	0	0	0	0	0	0	2200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																263	0	884										
19356	0	0	0	0	0	0	0	0	0	0	0	437	945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																980	0	71										
19730	0	0	0	0	0	0	0	0	0	0	0	19072	34696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	93249	40049	8148										
19936	0	0	0	0	0	0	0	0	0	0	0	5493	5278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																5024	0	1082										
19972	0	0	0	0	0	0	0	0	0	0	0	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	0										
20053	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3022	0	0										
20370	0	0	0	0	0	0	0	0	0	0	0	0	628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	0										
20512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																207	0	0										
20633	0	0	0	0	0	0	0	0	0	0	0	1420	2188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	2906	0	2321										
20857	0	0	0	0	0	0	0	0	0	0	0	0	824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																24370	0	641										
21256	0	0	0	0	0	0	0	0	0	0	600	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																37	0	43										
21359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																75	0	1840										
21630	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3427	0	0										
21658	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1465	0	4661										
22048	0	0	0	0	0	0	0	0	0	0	0	215	2114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																13347	0	0										
22356	0	0	0	0	0	0	0	0	0	0	0	1309	3229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																9206	0	14289										
22459	0	0	0	0	0	0	0	0	0	0	0	370	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3980	0	1461										
