"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	
386825	296	6	8	0	324	42	0	0	0	0	
386852	1010	407	29	0	988	414	0	0	0	0	
387000	7986	1110	351	0	6994	469	0	0	0	0	
387055	346	94	1	0	300	49	0	0	0	0	
387336	931	44	76	0	910	99	0	0	0	0	
387345	435	0	8	0	441	14	0	0	0	0	
388155	1143	120	20	0	1008	5	0	0	0	0	
388258	315	54	7	0	271	17	0	0	0	0	
388557	35	5	0	0	36	6	0	0	0	0	
388744	2533	1325	350	0	2191	1333	0	0	0	0	
388753	371	210	3	0	239	81	0	0	0	0	
388940	665	146	20	0	568	69	0	0	0	0	
389059	436	498	48	0	293	403	0	0	0	0	
389358	41	0	0	0	41	0	0	0	0	0	
389657	225	4	18	0	223	20	0	0	0	0	
389826	108	0	0	0	110	2	0	0	0	0	
390167	0	0	0	0	0	0	0	0	0	0	
390336	2709	607	91	0	2558	547	0	0	0	0	
390457	3692	1916	66	0	2194	484	0	0	0	0	
390765	716	-39	1	0	818	64	0	0	0	0	
390840	2059	174	13	0	1890	18	0	0	0	0	
390925	7353	1275	77	0	7124	1123	0	0	0	0	
391137	3935	432	94	0	3682	273	0	0	0	0	
391249	1892	495	13	0	1533	149	0	0	0	0	
391418	1379	366	153	0	1576	716	0	0	0	0	
391557	190	50	32	0	252	144	0			0	
391838	10145	4063	73	0	8268	2259	0	0	0	0	
391959	318	0	0	0	338	20	0	0	0	0	
391977	2390	60	0	0	2331	1	0	0	0	0	
392031	496	0	2	0	503	9	0	0	0	0	
392152	287	0	12	0	326	51	0	0	0	0	
392228	86298	17115	3925	0	84969	19711	0	0	0	0	
392255	300	305	50	0	432	487	0	0	0	0	
392358	668	102	48	0	633	115	0	0	0	0	
392778	327	2	12	0	335	22	0	0	0	0	
393252	848	0	88	0	765	5	0	0	0	0	
