RIAD4097,RIAD4235,RIAD4239,RIAD4341,RIAD4797,RIAD4843,RIAD4844,RIAD4845,RIAD4846,RIADB523,RIADB524,RIADB525,RIADC899,RIADC900,RIADC902,RIADC903,RIADC904,RIADC905,RIADC907,RIADC908,RIADC909,RIADC911,RIADC913,RIADC914,RIADGW64,RIADJA28,RIADKW02,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,42448,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,42457,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,43052,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,43155,2008-12-31
,,,,,,,,,,,,86989,63683,0,17,0,6115,13636,0,2061,10349,0,10349,,,,43173,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,43351,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,43454,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,43511,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,43744,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,43856,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,43959,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,44040,2008-12-31
,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,44134,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,44433,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,44741,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,44750,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,44929,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,45038,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,45047,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,45056,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,45430,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,45458,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,45551,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,45560,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,45775,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,46053,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,46941,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,47153,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,47247,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,47256,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,47452,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,47500,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,48057,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,48150,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,48374,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,48440,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,48730,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,49054,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,49148,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,49241,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,49344,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,49643,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,49652,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,49821,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,49858,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,49951,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,50144,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,50461,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,50546,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,50854,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,50957,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,51253,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,51356,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,51459,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,51730,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,51842,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,52410,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,52719,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,52951,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,53015,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,53033,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,53051,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,53239,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,53453,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,53752,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,54049,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,54058,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,54357,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,54375,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,54441,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,54656,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,55176,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,55336,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,55635,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,55653,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,56258,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,56351,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,56427,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,56548,2008-12-31
,,,,,,,,,,,,0,2180,0,0,0,0,0,0,0,-2180,0,-2180,,,,56557,2008-12-31
