RCON5562,RCON5563,RCON5564,RCON5565,RCON5566,RCON5567,RCON5568,RCON5569,RCON5570,RCON5571,RCON5572,RCON5573,RCON5574,RCON5575,RCON5576,RCON5577,RCON5578,RCON5579,RCON5580,RCON5581,RCON5582,RCON5583,RCON5584,RCON5585,RCON5586,RCON5587,RCON5588,RCON5589,RCON6860,RCON6999,IDRSSD,RCON9999
0,0,0,0,1,73,0,0,0,0,0,0,0,0,0,0,1,27,5,912,2,476,0,0,0,0,0,0,false,false,18377,2006-06-30
0,0,27,1231,16,1895,16,6297,72,1478,5,386,12,2714,0,0,1,1,1,60,0,0,2,5,0,0,1,149,false,false,18827,2006-06-30
0,0,99,3080,25,3483,21,5156,1,2,0,0,0,0,47,3,0,0,0,0,0,0,0,0,0,0,0,0,true,false,18836,2006-06-30
0,0,24,744,11,1610,20,3838,31,817,8,991,8,2067,0,0,38,1004,14,1683,4,81,45,736,4,315,1,167,false,false,18854,2006-06-30
70,180,0,0,0,0,0,0,0,0,0,0,0,0,70,107,0,0,0,0,0,0,0,0,0,0,0,0,true,true,18957,2006-06-30
0,0,12,330,3,276,9,3295,16,307,8,971,11,4739,0,0,5,114,4,588,1,239,6,118,1,90,1,100,false,false,19356,2006-06-30
0,0,172,7906,265,37819,329,133995,360,11096,137,16587,134,42649,0,62,20,692,16,2134,6,1983,49,1291,11,1543,2,540,false,false,19730,2006-06-30
0,0,301,5232,59,9387,37,14393,859,7977,28,4311,20,3532,0,0,68,1024,10,1428,9,3277,192,2069,7,1082,2,671,false,false,19936,2006-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,19972,2006-06-30
0,0,14,625,6,935,1,499,49,2637,5,561,1,200,0,0,3,70,3,316,3,1022,73,1360,8,1290,1,261,false,false,20053,2006-06-30
0,0,34,1119,19,2449,12,3805,67,1218,2,301,3,157,0,0,58,1827,27,3505,7,2992,60,981,2,234,0,0,false,false,20147,2006-06-30
0,0,0,0,4,675,5,2575,50,1036,19,2173,3,1005,0,0,3,195,1,160,3,740,19,422,4,510,0,0,false,false,20259,2006-06-30
0,0,83,3645,47,6971,37,18918,187,4581,27,3263,8,2100,0,0,1,38,1,109,0,0,0,0,0,0,0,0,false,false,20370,2006-06-30
129,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,true,true,20512,2006-06-30
0,0,61,1997,36,4211,52,20090,63,1901,15,1850,13,4964,0,0,0,0,0,0,0,0,0,0,1,125,0,0,false,false,20633,2006-06-30
0,0,1,51,0,0,0,0,20,375,5,632,5,1451,9,70,0,0,0,0,0,0,0,0,0,0,0,0,true,false,20754,2006-06-30
0,0,34,878,32,2851,78,25849,223,4343,36,3743,23,6589,0,0,21,648,10,1174,7,1608,10,349,0,0,2,227,false,false,20839,2006-06-30
0,0,12,310,8,1013,8,2045,24,520,8,799,9,1787,46,178,0,0,0,0,0,0,0,0,0,0,0,0,true,false,20857,2006-06-30
0,0,19,1461,46,7331,52,23486,162,3061,44,5053,31,9889,0,0,2,123,2,440,0,0,0,0,0,0,0,0,false,false,20866,2006-06-30
5,21,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,true,true,21256,2006-06-30
5,32,0,0,0,0,0,0,0,0,0,0,0,0,23,89,0,0,0,0,0,0,0,0,0,0,0,0,true,true,21359,2006-06-30
0,0,29,846,10,1203,6,1871,92,1624,6,468,1,247,0,0,3,155,2,193,0,0,12,318,3,420,1,294,false,false,21630,2006-06-30
0,0,82,3139,25,5666,18,5719,223,4356,18,2223,19,6176,202,269,0,0,0,0,0,0,0,0,0,0,0,0,true,false,21658,2006-06-30
0,0,40,1403,30,3958,37,18566,439,8250,54,5132,50,22565,0,0,3,206,5,696,3,882,69,1647,24,2539,48,13326,false,false,22048,2006-06-30
0,0,91,3185,56,7826,89,40097,17,241,7,703,6,1934,0,0,33,1167,20,2637,7,1903,101,1831,11,1123,5,1092,false,false,22235,2006-06-30
0,0,84,3346,79,9368,40,12878,286,4944,67,5963,45,11259,0,0,40,2293,27,3003,18,4699,188,4264,73,7377,29,5471,false,false,22356,2006-06-30
0,0,16,783,17,2469,12,3403,122,2066,21,1808,16,4904,52,180,0,0,0,0,0,0,0,0,0,0,0,0,true,false,22459,2006-06-30
0,0,52,2132,38,5664,23,10588,103,1668,3,392,1,141,0,0,1,45,2,251,0,0,0,0,0,0,0,0,false,false,22543,2006-06-30
0,0,44,1738,13,1763,12,3179,146,2414,12,1242,8,1822,0,0,63,2313,28,3254,13,2454,342,6931,46,3889,11,2596,false,false,22552,2006-06-30
0,0,57,1576,30,369,9,6053,56,1164,12,1185,4,973,0,0,3,69,1,90,0,0,0,0,0,0,0,0,false,false,22730,2006-06-30
0,0,101,3483,62,8399,57,22569,440,8707,42,4270,11,2491,0,0,35,1240,11,1347,4,1414,48,1184,12,1039,10,2302,false,false,22936,2006-06-30
0,0,29,2792,19,2494,10,3015,180,4281,9,1030,14,3288,0,0,64,2821,24,3181,5,856,215,8283,7,987,2,322,false,false,22954,2006-06-30
0,0,112,5433,96,12692,85,35660,576,13146,62,5870,38,12063,0,0,8,298,8,1178,2,391,5,87,0,0,0,0,false,false,23036,2006-06-30
0,0,12,534,6,917,5,1613,16,381,0,0,1,220,0,0,7,279,3,444,0,0,1,8,1,162,0,0,false,false,23045,2006-06-30
0,0,492,16518,236,28215,208,69215,2954,48010,272,27209,214,60696,0,0,454,14427,174,18651,57,15679,691,12572,91,9633,19,4280,false,false,23241,2006-06-30
0,0,49,2224,23,2961,8,2851,105,1893,20,2417,15,5559,0,0,56,2245,22,2847,2,525,61,1264,14,1952,9,3466,false,false,23456,2006-06-30
0,0,19,1106,92,11122,164,73347,742,16028,86,8240,36,7467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,23504,2006-06-30
0,0,6,212,5,744,8,3541,154,2299,6,567,3,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,23540,2006-06-30
148,324,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,true,true,23643,2006-06-30
0,0,44,1918,34,4741,38,16716,114,2323,22,2166,12,2265,0,0,2,163,5,739,1,341,6,78,0,0,0,0,false,false,23755,2006-06-30
0,0,101,3502,173,19168,213,77290,494,9762,153,10446,128,35994,0,0,0,0,5,780,3,250,1,49,0,0,0,0,false,false,23812,2006-06-30
0,0,21,835,90,13618,139,60680,186,5087,57,5461,47,17085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,24006,2006-06-30
0,0,41,3283,133,20149,249,122784,2146,40863,277,22717,230,53830,0,0,5,202,10,1259,17,6090,194,2557,36,3346,27,6349,false,false,24266,2006-06-30
0,0,34,1886,40,5989,26,12123,43,964,11,1674,17,6723,0,0,0,0,8,1676,0,0,0,0,0,0,0,0,false,false,24453,2006-06-30
0,0,18,1009,7,859,5,2006,72,1956,21,2285,8,2070,0,0,18,759,6,905,2,591,21,478,7,843,8,2070,false,false,24659,2006-06-30
0,0,45,2096,31,3798,15,4989,81,1562,11,1213,7,1991,0,0,15,458,2,248,2,655,37,870,4,415,0,0,false,false,24668,2006-06-30
1,24,0,0,0,0,0,0,0,0,0,0,0,0,6,104,0,0,0,0,0,0,0,0,0,0,0,0,true,true,24855,2006-06-30
0,0,187,6411,160,19860,121,41511,596,11170,106,11762,84,30651,0,0,17,455,10,1464,3,658,84,1324,7,1002,1,404,false,false,24949,2006-06-30
0,0,64,1537,25,3744,13,6755,36,912,2,277,0,0,0,0,0,0,0,0,0,0,2,156,1,199,2,766,false,false,25357,2006-06-30
0,0,10,482,25,3996,24,11866,42,1182,9,1421,3,1557,0,0,1,34,0,0,2,550,0,0,0,0,0,0,false,false,25647,2006-06-30
0,0,152,6100,109,15847,79,32523,387,9516,52,5851,28,8292,0,0,40,1875,23,3196,3,1054,151,3738,10,1391,3,942,false,false,25852,2006-06-30
0,0,87,5699,18,2373,13,4757,121,4215,10,976,4,1130,0,0,11,415,3,361,1,225,8,399,0,0,0,0,false,false,26149,2006-06-30
0,0,9,524,21,2790,52,24387,85,1919,22,1195,19,6091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,26233,2006-06-30
0,0,99,3842,51,5988,106,50708,688,14442,8,969,28,2547,106,75,0,0,0,0,0,0,0,0,0,0,0,0,true,false,26242,2006-06-30
8,10,0,0,0,0,0,0,0,0,0,0,0,0,91,67,0,0,0,0,0,0,0,0,0,0,0,0,true,true,26457,2006-06-30
0,0,6,226,2,258,0,0,9,57,0,0,1,136,0,0,1,39,2,301,1,365,52,912,5,436,3,819,false,false,26765,2006-06-30
0,0,38,1266,46,5884,81,31170,201,5027,56,4716,57,15836,0,0,1,86,1,129,0,0,7,79,1,100,0,0,false,false,26859,2006-06-30
0,0,93,3155,106,12850,100,37150,309,5321,33,3031,14,3283,0,0,6,111,2,375,6,1705,0,0,0,0,0,0,false,false,26916,2006-06-30
0,0,84,4086,75,10660,72,27374,359,8802,63,6667,51,17271,0,0,13,546,9,868,2,412,7,229,1,79,0,0,false,false,27548,2006-06-30
0,0,51,2017,45,5729,27,11282,68,1077,9,546,8,2668,0,0,8,357,14,1730,2,547,9,28,0,0,0,0,false,false,27614,2006-06-30
0,0,15,810,41,6106,57,25394,183,6056,84,9517,66,23363,0,0,0,0,1,194,0,0,0,0,0,0,0,0,false,false,27838,2006-06-30
408,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,3714,28,4212,30,12086,482,6191,3,484,1,250,false,true,27847,2006-06-30
0,0,8,396,49,7962,152,70074,27,1133,2,451,12,5525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,28013,2006-06-30
0,0,32,1157,17,2026,14,7880,71,1651,13,1340,12,2758,0,0,31,1370,16,2119,10,3387,32,733,6,691,2,593,false,false,28152,2006-06-30
0,0,31,902,13,1831,9,3364,92,1916,10,791,15,4842,0,0,25,685,6,866,1,317,79,1047,6,548,3,477,false,false,28255,2006-06-30
176,160,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,true,true,28349,2006-06-30
0,0,0,0,2,75,2,598,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,28406,2006-06-30
