RCON9224,RCON9999,RSSD9017,RSSD9130,RSSD9200,RSSD9220,IDRSSD
,2011-12-31,THE FARMERS STATE BANK,SWEETSER,IN,469870190,69847
,2011-12-31,Community Bank,Noblesville,IN,46060,70049
,2011-12-31,The Farmers & Merchants Bank,Dyer,TN,383300285,70058
,2011-12-31,United Orient Bank,New York,NY,10038,70218
,2011-12-31,THE NORTHUMBERLAND NATIONAL BANK,NORTHUMBERLAND,PA,17857,70414
,2011-12-31,Peoples Bank,Mendenhall,MS,39114,70638
,2011-12-31,Nebraska State Bank,Bristow,NE,68719,70955
,2011-12-31,"DNB First, National Association",Downingtown,PA,193350904,71318
,2011-12-31,Bruning State Bank,Bruning,NE,683220100,71457
,2011-12-31,CBW BANK,Weir,KS,66781,71859
,2011-12-31,The Converse County Bank,Douglas,WY,82633,72258
,2011-12-31,Farmers State Bank,Wathena,KS,660900219,72351
,2011-12-31,FREEPORT STATE BANK,FREEPORT,MN,56331,72454
,2011-12-31,BELMONT SAVINGS BANK,BELLAIRE,OH,439060654,72678
,2011-12-31,Security Bank NA,N. Lauderdale,FL,33068,73031
,2011-12-31,Artisans' Bank,Wilmington,DE,19808,73116
,2011-12-31,THE FARMERS AND MERCHANTS NATIONAL BANK OF FAIRVIEW,Fairview,OK,737370493,73152
,2011-12-31,Pathway Bank,Cairo,NE,68824,73554
,2011-12-31,Security State Bank,Wellington,KS,67152,73956
,2011-12-31,SOUTH CENTRAL STATE BANK,CAMPBELL,NE,689320186,74056
,2011-12-31,Isabella Bank,Mt. Pleasant,MI,48858,74140
,2011-12-31,DAKOTA STATE BANK,BLUNT,SD,57522,74159
,2011-12-31,Merrimack County Savings Bank,Concord,NH,3301,74403
,2011-12-31,First National Bank in Tigerton,Tigerton,WI,54486,74449
,2011-12-31,United Bank of Kansas,Lenexa,KS,66220,74458
,2011-12-31,First Minnesota Bank,Minnetonka,MN,55345,75053
,2011-12-31,First Oklahoma Bank,Tulsa,OK,741374248,75259
,2011-12-31,South Ottumwa Savings Bank,Ottumwa,IA,525010516,75446
,2011-12-31,The Northern State Bank of Gonvick,Gonvick,MN,566440060,75455
