RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,4238,0,3279,0,0,2728,0,0,128,754,77,0,0,,30502,2012-09-30
,,,,,,,,,,,,,342,0,17,0,0,0,0,0,127,198,0,0,0,,30650,2012-09-30
,,,,,,,,,,,,,3241104,0,735008,0,0,657734,0,0,92348,2413748,0,0,0,,30810,2012-09-30
,,,,,,,,,,,,,3739,0,754,0,754,0,0,0,71,2914,0,0,0,,30874,2012-09-30
,,,,,,,,,,,,,2119,0,1611,176,13,870,632,0,132,200,0,0,0,,31134,2012-09-30
,,,,,,,,,,,,,7582,0,4422,0,0,2844,0,0,129,3031,0,0,0,,31255,2012-09-30
,,,,,,,,,,,,,272,0,167,0,60,0,0,78,44,61,0,0,0,,31657,2012-09-30
,,,,,,,,,,,,,3388,0,2944,0,0,0,0,0,125,319,0,0,0,,31826,2012-09-30
,,,,,,,,,,,,,4024,0,2348,0,0,681,0,0,63,1613,0,1667,0,,31835,2012-09-30
,,,,,,,,,,,,,77,0,0,0,0,0,0,0,16,61,0,0,0,,32234,2012-09-30
,,,,,,,,,,,,,54,0,0,0,0,0,0,0,4,50,0,0,0,,32766,2012-09-30
,,,,,,,,,,,,,2628,0,1818,85,0,0,0,0,113,612,0,1544,0,,32971,2012-09-30
,,,,,,,,,,,,,2020,0,518,0,0,401,0,0,224,1278,0,0,0,,33147,2012-09-30
,,,,,,,,,,,,,2913,0,530,0,0,226,0,0,1033,1350,0,0,0,,33259,2012-09-30
,,,,,,,,,,,,,228,0,0,0,0,0,0,0,49,179,0,0,0,,33268,2012-09-30
,,,,,,,,,,,,,90,0,19,24,0,0,0,0,0,47,0,0,0,,33370,2012-09-30
,,,,,,,,,,,,,432,0,0,187,0,0,0,0,6,239,0,0,0,,33754,2012-09-30
,,,,,,,,,,,,,215,0,22,81,22,0,0,0,14,98,0,0,0,,33839,2012-09-30
,,,,,,,,,,,,,409,0,10,0,8,0,0,0,133,266,0,0,0,,33857,2012-09-30
,,,,,,,,,,,,,3402,0,1107,0,0,1000,0,0,112,2183,0,0,0,,34153,2012-09-30
,,,,,,,,,,,,,525,0,430,59,0,0,0,0,35,1,0,426,0,,34359,2012-09-30
,,,,,,,,,,,,,1100,0,908,0,0,712,0,0,121,71,0,0,0,,34425,2012-09-30
,,,,,,,,,,,,,1561,407,993,0,586,0,0,0,276,292,0,0,0,,34434,2012-09-30
,,,,,,,,,,,,,434,0,98,0,0,0,0,0,124,212,0,0,0,,34452,2012-09-30
,,,,,,,,,,,,,8989,0,2525,0,0,0,0,0,139,6296,29,2399,0,,34537,2012-09-30
,,,,,,,,,,,,,1961,0,1719,0,0,85,0,0,235,7,0,1596,0,,34555,2012-09-30
,,,,,,,,,,,,,4468,0,3048,0,0,0,0,0,328,1092,0,2767,0,,34742,2012-09-30
,,,,,,,,,,,,,70,0,0,12,0,0,0,0,47,11,0,0,0,,34836,2012-09-30
,,,,,,,,,,,,,489,0,105,1,84,0,0,0,86,297,0,0,0,,35057,2012-09-30
13818496,0,10514331,1124225,0,5859953,3050200,0,2160441,17502,0,0,,,,,,,,,,1997,,,,,,35301,2012-09-30
,,,,,,,,,,,,,105909,0,42648,0,4244,10646,22400,0,1082,62179,0,0,0,,35570,2012-09-30
,,,,,,,,,,,,,514,0,0,0,0,0,0,0,52,462,0,0,0,,35646,2012-09-30
,,,,,,,,,,,,,528,0,2,0,0,0,0,0,339,187,0,0,0,,35842,2012-09-30
,,,,,,,,,,,,,3292,0,1723,785,0,1017,0,0,230,554,0,0,0,,35879,2012-09-30
,,,,,,,,,,,,,4780,0,813,0,488,0,0,0,892,3075,0,0,0,,36054,2012-09-30
,,,,,,,,,,,,,365,0,0,0,0,0,0,0,46,319,0,0,0,,36456,2012-09-30
,,,,,,,,,,,,,317,0,152,12,0,0,0,0,59,94,0,112,0,,36933,2012-09-30
