RCFN2200,RCFN2625,RCFN2650,RCFNA245,RCFNB553,RCFNB554,RCFNB555,IDRSSD,RCON9999
,,,,,,,125855,2014-06-30
,,,,,,,125873,2014-06-30
,,,,,,,125958,2014-06-30
,,,,,,,126012,2014-06-30
,,,,,,,126049,2014-06-30
,,,,,,,126254,2014-06-30
,,,,,,,126375,2014-06-30
,,,,,,,126553,2014-06-30
,,,,,,,126740,2014-06-30
,,,,,,,126834,2014-06-30
,,,,,,,127055,2014-06-30
,,,,,,,127224,2014-06-30
,,,,,,,127701,2014-06-30
,,,,,,,128089,2014-06-30
,,,,,,,128258,2014-06-30
36809,36809,0,0,0,0,0,128511,2014-06-30
,,,,,,,128904,2014-06-30
,,,,,,,129349,2014-06-30
,,,,,,,129358,2014-06-30
,,,,,,,129479,2014-06-30
,,,,,,,129732,2014-06-30
,,,,,,,129853,2014-06-30
,,,,,,,129910,2014-06-30
,,,,,,,130345,2014-06-30
,,,,,,,130541,2014-06-30
,,,,,,,130671,2014-06-30
,,,,,,,130813,2014-06-30
,,,,,,,131034,2014-06-30
,,,,,,,131155,2014-06-30
,,,,,,,131173,2014-06-30
,,,,,,,131418,2014-06-30
,,,,,,,131436,2014-06-30
,,,,,,,131650,2014-06-30
,,,,,,,131717,2014-06-30
,,,,,,,131940,2014-06-30
,,,,,,,132107,2014-06-30
,,,,,,,132152,2014-06-30
,,,,,,,132451,2014-06-30
,,,,,,,132554,2014-06-30
,,,,,,,132778,2014-06-30
,,,,,,,132938,2014-06-30
,,,,,,,133579,2014-06-30
,,,,,,,133850,2014-06-30
,,,,,,,133971,2014-06-30
,,,,,,,134156,2014-06-30
,,,,,,,134437,2014-06-30
,,,,,,,134455,2014-06-30
,,,,,,,134848,2014-06-30
,,,,,,,135836,2014-06-30
,,,,,,,135854,2014-06-30
,,,,,,,136048,2014-06-30
,,,,,,,136338,2014-06-30
,,,,,,,136459,2014-06-30
,,,,,,,136655,2014-06-30
,,,,,,,137205,2014-06-30
,,,,,,,137447,2014-06-30
,,,,,,,137456,2014-06-30
,,,,,,,137559,2014-06-30
,,,,,,,137643,2014-06-30
,,,,,,,137652,2014-06-30
,,,,,,,137821,2014-06-30
,,,,,,,137915,2014-06-30
,,,,,,,138051,2014-06-30
,,,,,,,138257,2014-06-30
,,,,,,,138556,2014-06-30
,,,,,,,138725,2014-06-30
,,,,,,,138752,2014-06-30
