RCFD2143,RCFD2150,RCFD2651,RCFD3163,RCFD3164,RCFD3190,RCFD4088,RCFD5372,RCFD5374,RCFD5375,RCFD5507,RCFD6164,RCFD6165,RCFDA590,RCFDB026,RCFDB565,RCFDB566,RCFDB567,RCFDB568,RCFDB569,RCFDB570,RCFDB571,RCFDF055,RCFDF056,RCFDF057,RCFDF058,RCFDF059,RCFDF060,RCFDF061,RCFDF062,RCFDF063,RCFDF065,RCFDJA29,RCFDJF76,RCFDK192,RCFDK193,RCFDK194,RCFN5513,RCON2143,RCON2150,RCON2651,RCON3163,RCON3164,RCON3190,RCON4088,RCON5508,RCON5509,RCON5510,RCON5511,RCON5512,RCON6164,RCON6165,RCONA590,RCONB569,RCONB570,RCONB571,RCONF055,RCONF056,RCONF057,RCONF058,RCONF059,RCONF060,RCONF061,RCONF062,RCONF063,RCONF064,RCONF065,RCONG463,RCONG464,RCONJA29,RCONJF76,RCONK193,RCONK194,RCONL133,RCONL135,RCONLG26,RCONLG27,RCONLG28,RCONLL57,RCONLL59,RCONLL60,RCONMM07,RCONMQ52,RCONN523,RCONN524,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18008,0,694,0,0,true,9644,1515,4938,0,1911,1475,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,10849,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422,2751,450,0,14794,false,81,0,815,0,526,1225,1,0,false,0,0,2751,7043,5000,0,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,11145,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7593,182700,3939,44,190735,true,2949,0,2364,0,2280,2456,1,44,true,0,4035,182700,0,0,4000,0,4035,0,0,0,0,0,true,true,,,0,0,1,true,,,,,,,,,,,11275,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0,0,0,26000,true,0,0,112,0,0,4448,1,0,false,0,0,6000,0,20000,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,11640,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145,1000,0,0,8000,true,1520,0,300,0,325,903,1,0,false,0,0,1000,0,7000,0,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,11837,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3365,0,0,0,0,true,1662,642,281,0,780,1089,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,,0,0,,,,,,,,,,,,,12030,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,4000,0,0,4000,true,0,0,0,0,75,407,0,0,false,0,0,4000,0,0,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,12142,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0,0,0,1388,true,0,0,35,0,0,111,0,0,false,0,0,0,500,0,888,0,0,0,0,0,0,0,true,false,,,0,0,1,true,,,,,,,,,,,12179,2014-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,2000,1394,0,4929,true,47,0,14,0,0,268,0,0,false,0,0,2000,1517,1412,0,0,0,0,0,0,0,0,true,false,,,0,0,,,,,,,,,,,,,12245,2014-06-30
,34695,2374728,450100,159860,5374193,true,,,,69168,222496,6,166662,28707,,,,,true,2931514,44220,2374728,500100,1286,7058,0,44220,1911801,535000,0,65000,,,0,0,10737,0,,,,,,5374193,,759,227,32091,0,1618,,,,,,,,,,,,,,,,0,,true,true,,,,,,,,,,,,,,,1360,31339,12311,2014-06-30
