RCON8725,RCONA126,RCONC391,RCONFT00,RCONFT01,RCONFT02,RCONFT03,RCONFT04,RCONFT05,RCONFT06,RCONFT07,RCONFT08,RCONFT09,RCONFT10,RCONFT11,RCONFT12,RCONFT13,RCONFT14,RCONFT15,RCONFT16,RCONHK18,RCONHK19,RIADC388,RIADC389,RIADC390,RIADF551,RIADF553,IDRSSD,RCON9999
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,48150,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,48374,2017-09-30
872,0,,,,,,,,,,,,,,,,,,,,,,,,,,48440,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,49054,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,49148,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,49241,2017-09-30
,,,false,,,false,,,false,false,,false,,true,6423,false,,,false,,,,,,,,49652,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,49858,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,49951,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,50144,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,50461,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,50872,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,51253,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,51356,2017-09-30
,,,false,,,false,,,true,false,,false,,false,,false,,,false,1520,0,,,,34,0,51459,2017-09-30
334,0,,,,,,,,,,,,,,,,,,,,,,,,,,51842,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,52719,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,52951,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,53051,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,53752,2017-09-30
,,,false,,,false,,,false,false,,false,,true,54824,false,,,false,,,,,,,,54049,2017-09-30
0,455,,,,,,,,,,,,,,,,,,,,,,,,,,54058,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,54441,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,54656,2017-09-30
885,0,,,,,,,,,,,,,,,,,,,,,,,,,,54973,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,55336,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,55635,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,55653,2017-09-30
,,,false,,,false,,,false,false,,false,,true,158763,false,,,false,,,,,,,,55970,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,56258,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,1628,0,56351,2017-09-30
5116,0,,true,0,0,false,,,false,false,,false,,true,147610,false,,,false,,,,,,,,56548,2017-09-30
100000,459860,,,,,,,,,,,,,,,,,,,,,,,,,,56557,2017-09-30
,,,false,,,false,,,false,false,,true,3480,true,121266,false,,,false,,,,,,,,56717,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,57040,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,57451,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,58177,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,58207,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,58225,2017-09-30
474562,0,,,,,,,,,,,,,,,,,,,,,,,,,,58243,2017-09-30
2270,0,,true,0,0,false,,,false,false,,false,,false,,false,,,false,,,,,,,,58355,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,58551,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,58636,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,58757,2017-09-30
50287,0,,,,,,,,,,,,,,,,,,,,,,,,,,58971,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,59316,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,59352,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,59370,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,59754,2017-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,60143,2017-09-30
10104,0,,,,,,,,,,,,,,,,,,,,,,,,,,60330,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,60545,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,60554,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,60648,2017-09-30
3797,0,,,,,,,,,,,,,,,,,,,,,,,,,,61122,2017-09-30
15886,0,,true,0,0,true,24836,1827,false,false,,false,,true,562511,false,,,false,,,,,,,,61355,2017-09-30
,,,false,,,false,,,false,false,,true,16935,true,22884,false,,,false,,,,,,,,61476,2017-09-30
