"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	TEXT4087	
602543																														152	0	45	0	0	0	true	0	0	0	152	0	15	0	0	30	966	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	1480	0	http://www.petefishskiles.com	
602842																														0	0	0	0	0	55	false	0	0	0	0	0	0	0	0	0	264	1	0	0	false	0	55	0	0	0	0	0	0	55	0	0	0	0	0		
603232																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	480	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
603540																														0	0	0	0	0	2631	true	0	0	0	0	0	0	0	0	0	1126	1	0	0	false	0	131	0	0	2500	0	0	0	131	0	0	0	0	131	http://www.brcbank.com	
603559																														104	0	168	17	0	1566	true	0	0	0	104	0	0	0	0	168	360	1	0	0	true	0	0	0	17	52	1205	292	0	0	0	0	0	0	0	http://www.fsbphillipsburg.com	
603755																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	289	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://fsbjunction.com	
603951																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	583	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.firstabilene.com	
604024																														0	0	165	1700	0	4881	true	0	0	0	0	0	0	165	0	0	1675	1	0	0	true	0	0	0	1700	373	2154	654	2000	0	0	0	0	0	0	http://minsterbank.com	
604033																														0	0	47	0	0	0	false	0	0	0	0	0	0	47	0	0	258	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
604453																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	3320	7	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
604547																														0	0	181	0	0	4232	true	0	0	0	0	0	0	37	0	144	310	0	0	0	true	0	0	0	2200	2000	0	0	0	32	0	0	0	0	32	http://www.heartlandbanks.com	
604556																														0	0	1010	625	0	24625	true	0	0	0	0	0	0	0	0	1010	248	0	0	0	false	0	0	0	625	0	14000	10000	24000	0	0	0	0	0	0	www.ravallibank.com	
604640																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	3	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	570	0		
605058																														0	0	308	0	0	1300	true	0	0	0	0	0	0	0	0	308	1304	1	0	0	false	0	0	0	700	600	0	0	0	0	0	0	0	0	0	www.csbmt.com	
605133																														0	0	0	10000	0	10000	true	0	0	0	0	0	0	0	0	0	2350	1	0	0	false	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	www.tommorrowsbanktoday.com	
605610																														77	0	0	4000	77	22000	true	0	0	0	0	0	0	0	0	0	0	0	77	0	false	0	0	0	7000	3000	4000	8000	0	0	0	0	0	0	0	www.sawyersavings.com	
605656																														128	0	1439	11714	0	41743	true	0	0	0	128	531	0	148	0	760	258	0	0	0	true	0	0	0	11714	30029	0	0	0	0	0	0	0	0	0	FIRSTSTATEKS.COM	
606046																														62687	0	11808	200000	38085	347097	true	0	0	0	24602	2968	0	4033	0	4807	493462	19	38085	0	true	0	0	0	200000	56701	1999	77396	0	0	183	10696	122	0	0	www.bancorpsouth.com	
606073																														0	0	0	236	0	8379	false	0	0	0	0	0	0	0	0	0	600	0	0	0	false	0	0	0	236	378	2278	5487	0	0	0	0	0	0	0		
606653																														0	0	0	9850	0	9850	true	0	0	0	0	0	0	0	0	0	9000	4	0	0	true	0	0	0	9850	0	0	0	0	0	0	0	0	0	0	www.ibyourbank.com	
607146																														0	0	20	3050	0	6250	true	0	0	0	0	0	0	20	0	0	204	0	0	0	false	0	0	0	3050	3200	0	0	0	0	0	0	0	0	0	http://www.centralstatebankia.com	
607333																														832	0	126	0	832	17100	true	0	0	0	0	0	0	0	0	126	8619	1	832	0	true	0	0	0	1600	1500	14000	0	0	0	0	0	0	0	0	www.mwbonline.com	
607511																														1175	0	164	9	0	12137	true	0	0	0	1175	0	0	164	0	0	2322	2	0	0	false	0	500	0	10009	0	0	1628	10000	500	0	0	0	0	0	http://fbtrust.com	
608358																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	387	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.garfieldcountybank.com	
608367																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	175	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fsbvan.com	
608451																														0	0	10	0	0	0	true	0	0	0	0	0	0	10	0	0	210	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fnbkemp.com	
608844																														442	0	0	0	0	2000	true	0	0	0	442	0	0	0	0	0	4274	2	0	0	false	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	www.stbkil.com	
609010																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1523	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.elmerbank.com	
609373																														101	0	0	9000	101	25000	true	0	0	0	0	0	0	0	0	0	3084	4	132	0	false	0	0	0	9000	14000	2000	0	0	0	0	0	0	0	0	http://WWW.VALLEYSAVINGSBANK.COM	
609467																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://upbnet.com	
