"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
70076											134					0	1131	0	0	
70151											0					0	0	0	0	
70218											121					0	252	0	0	
70254											451					6579	0	0	0	
70414											1648					10800	1124	0	139	
70638											665					13910	0	0	0	
70955											0					0	0	0	0	
71318											3402					50242	0	0	42864	
71457											1071					13017	0	0	0	
71859											0					0	0	0	0	
72258											0					0	0	0	0	
72351											37					0	0	0	0	
72454											200					2000	0	0	0	
72614											3527					0	3500	0	53270	
72678											3330					74250	40	0	0	
73031											711					5000	0	0	0	
73116											1986					22850	0	0	0	
73152											216					3000	0	0	0	
73554											447					10253	0	0	0	
73956											147					1470	0	0	0	
74056											323					2195	0	0	3681	
74140											2853					41786	0	0	545	
74159											216					3013	0	0	0	
74337											235					2201	0	0	0	
74403											3669					65159	5165	0	10280	
74449											25					0	0	0	0	
74458											599					5750	0	0	0	
75053											3283					61000	3980	0	2000	
75259											0					0	385	0	0	
75446											1816					29000	0	0	828	
75455											0					0	0	0	0	
75558											354					0	0	0	0	
75633	651031	5379085	670312	1191149	0	111822	182	251384	0	8257515	156041	0	40526516	1074290	35866875	3046144	2550	1028438	4080622	
75651											312					500	0	0	0	
76050											595					2144	8695	0	0	
76135											907					0	0	0	0	
76153											514					3087	0	0	0	
76443											1301					8550	0	0	500	
76854											1120					15500	250	0	0	
77150											100					300	0	0	0	
77253											395					0	0	0	0	
77347											2649					37000	0	0	16375	
77374											12789					147292	3276	0	9454	
77422											364					0	1000	0	0	
77758											1192					3321	0	0	11499	
77851											4897					53561	2067	0	32493	
78036											1916					0	0	0	0	
78054											401					5000	0	0	0	
78157											100					0	0	0	0	
78241											136					149	200	0	0	
78559											27					0	0	0	0	
78643											371					1000	0	0	0	
78858											219					0	0	0	0	
79042											183					1593	0	0	21135	
79127											154					956	0	0	0	
79145											2616					17285	0	0	0	
79257											51					0	0	0	0	
79855											2211					42265	0	0	1671	
80020											60					0	0	0	0	
80150											318					1976	0	0	20500	
80431											582					180	0	0	0	
80552											6					0	0	0	0	
80936											489					4000	0	0	1590	
81054											673					2900	0	0	5619	
81429											441					2000	0	0	0	
82033											621					2000	0	0	0	
82257											144					467	0	0	0	
82350											232					951	0	0	0	
82659											371					4883	0	0	0	
83151											612					6216	0	0	3582	
83236											0					0	0	0	0	
83311											0					0	0	0	0	
83357											0					0	0	0	0	
83450											14961					84265	0	0	32982	
83638	298	322823	139540	522989	0	448992	33497	355895	46067	1870421	18510	0	4664250	1581	4275885	109297	320	39516	608948	
83834											334					2636	0	0	0	
83852											0					0	0	0	0	
83955											236					1854	0	0	0	
84046											467					7845	0	0	0	
84055											245					250	0	0	275	
84251											0					0	0	0	0	
84345											472					3671	1000	0	0	
84541											2345					45222	0	0	0	
84804											0					0	0	0	0	
85043											47					82	0	0	0	
85052											26					0	0	0	0	
85258											338					4500	0	0	20	
85454											0					0	0	0	0	
85856											98					0	0	0	0	
85931											746					2357	1000	0	0	
86349											614					5069	0	0	0	
86358											0					0	0	0	0	
86527											8610					148479	10830	0	25234	
86554											271					1000	0	0	0	
87047											494					5000	0	0	0	
87159											109					0	0	0	0	
87234											1415					1000	0	0	22888	
87476											3593					75460	335	0	0	
87533											731					5000	0	0	107	
88240											198					0	0	0	4896	
88259											370					3172	0	0	0	
88352											0					0	0	0	0	
88455											1453					22688	0	0	7407	
88530											1297					16521	0	0	0	
88950											102					600	0	0	100	
89032											705					3	0	0	0	
89135											241					0	0	0	0	
89162											0					0	0	0	0	
89452											904					15422	0	0	0	
89751											1739					20604	0	0	0	
89854											596					3525	0	0	0	
89957											86					0	0	0	0	
90047											0					0	0	0	0	
90328											1137					10000	0	0	10000	
90337											797					5270	0	0	0	
90467											0					0	0	0	0	
90645											2					0	0	0	0	
90739											424					5000	0	0	0	
91147											201					215	0	0	0	
91156											683					0	0	0	7982	
91259											503					1000	0	0	0	
91615											340					3236	0	0	0	
91651											390					194	0	0	1500	
91754											202					120	0	0	0	
91866											7432					104000	2000	0	0	
91950											0					0	0	0	0	
91969											3078					65590	2500	0	0	
92050											92					0	53	0	0	
92144											33					12	0	0	0	
92630											4666					55017	0	0	0	
92706											2027					32271	0	0	1743	
92854											51					0	0	0	0	
92902											22					0	0	0	0	
93244											469					2500	0	0	980	
93329											264					0	0	0	3192	
93413											1754					37045	0	0	0	
93543											2193					18000	0	0	0	
93619											76					0	0	0	0	
93628											396					534	0	0	0	
93721											11575					22020	0	0	300017	
93758											344					0	0	0	0	
94139											600					0	0	0	14072	
94456											120					0	16	0	0	
94522											252					0	0	0	0	
94755											60					0	0	0	0	
94858											374					2000	0	0	0	
95051											0					6400	0	0	0	
95659											375					5000	0	0	0	
96254											1168					433	0	0	0	
96357											403					4000	0	0	0	
96553											119					122	0	0	0	
97055											642					14664	100	0	0	
97279											268					138	0	0	0	
97457											208					1250	0	0	0	
97804											7443					132360	1118	0	2925	
97943											846					15061	0	0	0	
98351											0					0	0	0	0	
98454											756					6927	0	0	0	
98463											1005					1713	0	0	32361	
98548											665					0	0	0	0	
98557											241					0	0	0	0	
98641											1410					17253	0	0	2679	
98717											544					3474	0	0	0	
99004											197					1300	0	0	0	
99059											148					0	0	0	0	
99143											546					3312	0	0	0	
