"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON3510	RCON3512	RCON3514	RCON3520	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	PB/PSA FDIC CERTIFICATE NUMBER	
2775151	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	4516		0	0	70634		98552	270		
2775179	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3198		0	0	53670		38514	191		
2775692	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2724		0	0	13415		15859	73		
2777070	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	881		257	1	31233		54027	158		
2777472	0	0	0	0		0	0	0		0	0	0	0	0		0	226		0	0	0	0	0	0	0	9345		269	1	147845		220731	595		
2777650	0	0	0	0		0	0	0		0	0	0	0	0		0	0	1287470	0	0	0	0	0	0	0	248232		31750	76	2259274		2047463	7554		
2781152	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	7752		253	1	77577		66802	312		
2782337	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	259		0	0	9119		19821	54		
2783660	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	12240		1180	3	107926		80445	452		
2783772	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	600		0	0	16448		15260	83		
2785477	0	0	0	0		0	0	0		6	0	0	0	0		0	0		0	0	0	0	0	0	0	1346		0	0	40477		18687	115		
2785637	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2843		469	1	30274		70211	233		
2785646	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	5614		0	0	42320		22319	100		
2787770	39	0	0	0		0	0	0		1	0	0	0	0		0	0		0	0	0	0	0	0	0	11424		740	2	122846		53679	306		
2788656	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	750		353	1	34001		65944	137		
2791003	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	4988		0	0	149934		153437	599		
2791076	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	11045		0	0	132816		85534	291		
2791085	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	612		0	0	39571		67917	209		
2791281	0	2	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2824		0	0	37663		42061	66		
2791517	2	0	0	0		0	0	0		18	0	0	0	0		0	0		0	0	0	0	0	0	0	7139		503	1	70914		33639	159		
2792064	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2630		0	0	68757		64264	172		
2792466	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1922		0	0	59377		48978	280		
2793155	12	0	0	0		0	0	0		0	2	0	0	0		0	0		0	0	0	0	0	0	0	5707		0	0	70451		56009	223		
2793593	3	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2147		0	0	48492		21108	120		
2793883	10	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	5847		773	2	59492		33985	187		
2794732	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1817		0	0	37834		15792	80		
2796017	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3132		0	0	106207		61089	298		
2796277	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1350		0	0	6911		5960	13		
2796295	0	0	0	1904		0	0	2673		0	0	0	0	0		194	516		0	0	0	0	0	0	0	4797		0	0	53905		105732	184		
