"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
684455	590	21	16	0	585	32	0			0	0	
685023	502	15	17	0	490	20	0			0	0	
685050	493	0	18	0	508	33	0			0	0	
685368	1984	0	4	0	1980	0	0			0	0	
685407	1247	0	0	0	1253	6	0			0	0	
685555	775	50	6	0	764	45	0			0	0	
685649	1480	80	13	0	1443	56	0			0	0	
685658	2141	156	21	0	2090	126	0			0	0	
685733	207	5	0	0	203	1	0			0	0	
686271	3137	-39	100	0	3235	159	0			0	0	
686440	559	15	7	0	657	120	0			0	0	
686459	1473	41	24	0	1431	23	0			0	0	
686655	2389	82	5	0	2302	0	0			0	0	
686758	414	0	22	0	402	10	0	0	0	0	0	
686963	1067	30	1	0	1036	0	0			0	0	
687009	13234	332	115	0	13173	386	0			0	0	
687054	36	0	0	0	36	0	0			0	0	
687250	222	24	2	0	197	1	0			0	0	
687269	374	0	0	0	376	2	0			0	0	
687474	1889	60	32	0	1846	49	0			0	0	
687830	333	0	0	0	333	0	0	0	0	0	0	
687858	4528	303	11	0	4498	284	0			0	0	
687951	2386	113	100	0	2291	118	0			0	0	
688079	230000	0	4000	0	272000	46000	0	4000	0	0	0	
688257	521	9	1	0	517	6	0			0	0	
688453	377	30	6	0	367	26	0			0	0	
688556	695	-59	12	0	831	89	0			0	0	
