"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	
935559																															0	5837	1057	36	10880		102		944	0			8361	0	14511	0	382	76218	0	0			0	33507	149	165	27433	3304	3480	11599	12450	2095	0	10289	10917	10742	8683	1851	0								452	0		0	
935634																															0	800	0	1640	13742		296		0	0			2933	27705	55481	0	80	158344	0	0			0	46459	8966	31350	3508	854	1790	5342	16006	20438	2030	33189	511	9144	51738	16925	303								0	242		0	
935719																															0	2810	1708	1701	12789		0		216	0			12965	5137	35931	0	1306	104924	0	0			0	29636	0	29526	33925	0	29526	0	0	0	0	28844	5081	11869	26064	3430	0								643	82		0	
935858																															0	245	2281	98	3096		3		272	0			1231	0	4976	0	0	19787	506	0			0	7274	797	2260	3188	282	120	1788	2668	2415	0	1842	968	3590	4682	1937	0								20	0		0	
936136																															99	142490	1765	25713	340716	0	2783	2783	863	4951	123816	0	123816	65770	16147	0	4533	899215	0	0	0	0	0	161694	8862	129401	231141	18365	4523	20999	97739	6579	13385	360641	23648	77483	204974	68119	1709	0	0	0	99	0	0	0	0	3964	0	0	
936426																															0	193874	390	45377	749043	0	2391	2391	1519	0	466017	0	466017	55702	60687	0	64030	2100620	0	0	0	0	0	390186	53385	40799	962600	35616	32363	76534	70776	161310	12853	881267	122815	314193	278495	94478	10801	0	0	0	0	0	0	0	18019	0	0	0	
936462																															0	61038	21754	71313	741162	0	620	620	0	0	191738	0	191738	65230	331747	0	0	1584623	5387	43336	43336	0	0	56604	2834	0	170229	6442	8332	6590	31317	3284	639	436641	235770	319560	468428	72757	0	0	0	0	0	0	0	0	1	2633	0	0	
936556																															0	1636	196	2028	5001		65		0	0			1401	3265	480	0	532	47069	331	0			0	28961	2797	15872	2948	953	1808	4445	15701	6055	0	6967	3008	3573	2883	2007	0								0	1038		0	
936640																															0	369	9756	583	3377		23		8417	135			5458	0	1881	0	0	41311	0	0			0	10283	1164	7736	8406	235	1240	3616	2797	2216	114	4907	7043	7001	7781	4168	0								0	0		0	
936837																															0	1253	1247	235	6128		0		2390	0			5078	868	3258	0	143	30065	0	0			0	8802	663	120	8401	260	614	1599	5186	1081	61	5031	2496	3237	8722	1761	0								0	0		0	
936855																															45108	16965	13872	2359	324029	3442	20454	17012	24931	365	976617	0	976617	34800	600439	0	43412	2234242	0	7424	7424	0	0	71770	11820	34550	1021714	19603	22226	13215	14469	224	2033	1112455	219767	290732	470326	59942	356	45108	0	45108	0	0	0	0	36523	3719	0	0	
937339																															0	171	11705	0	4591		0		5860	0			4335	0	6798	0	561	44463	0	0			0	10125	317	504	9132	136	1083	5200	2424	1063	0	9476	5184	12986	4951	771	704								0	0		0	
937553																															0	0	11378	0	1824		0		7633	206			3575	0	4873	0	0	39484	0	276			0	9540	385	9540	15633	368	1196	5825	214	1937	0	6070	7999	6969	4475	4404	8								0	0		0	
937674																															0	19988	635	3422	39773	0	1145	1145	0	0	12531	0	12531	11222	5351	0	0	156884	0	0	0	0	0	62088	289	17162	28781	2440	10773	3208	9664	17661	17179	54831	8191	10223	11403	8401	79	0	0	0	0	0	0	0	0	440	0	0	
