"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG167	RCONG168	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	AMT NONINT ACTS GE 250K	NBR NONINT ACT GE 250K	PB/PSA FDIC CERTIFICATE NUMBER	
2392950								0	4965		0	0	88012		33046	182	126023	0			5423	7		
2396547								0	7813		0	0	116203		78571	387	202587	0			14443	24		
2396592								0	509		0	0	12430		50047	58	62986	0			20516	13		
2396604								0	7625		2359	6	47741		36001	138	93726	0						
2397713								0	6226		0	0	92880		53508	291	152614	0			1710	5		
2398596								0	13113		900	3	202908		134376	498	351297	0			15820	28		
2398701	567714	4522			4522			0	2245		0	0	167074		393873	1383					10522	17		
2399119								0	9773		305	1	124911		131094	393	266083	0			8091	11		
2412072								0	12		0	0	57765		120881	435	178658	0	174383	0	36555	57		
2413510								0	3228		0	0	22579		9254	55	35061	0			0	0		
2434113							297328	0	52672		351	1	555648		448812	1851	1057483	0	1042018	0	68760	97		
2435615								0	4672		0	0	249593		57601	298	311866	0			1452	3		
2435660								0	11200		514	2	69317		68766	350	149797	0			8046	8		
2443535								0	8034		515	2	242250		119464	476	370263	0			20579	22		
2445052								0	7319		253	1	189922		115903	530	313397	0	304126	0	21368	23		
2446152								0	3616		255	1	76078		181345	626	261294	0			24283	50		
2451240								0	0		0	0	39271		328944	220	408927	40712			319081	140		
2453132								0	4357		374	1	102940		137993	547	245664	0	234114	0	22246	21		
2454607								0	12307		316	1	199673		134296	583	346592	0			24383	49		
2454867								0	1772		0	0	21906		37821	52	61499	0			1289	4		
2458119							449793	0	33502		2275	7	608691		546247	2354	1190715	0	1187986	0	72479	104		
2465881								0	17624		2535	4	111823		146654	501	278636	0			5278	10		
2467670							158043	0	0		0	0	10007		162042	40	172049	0						
2468097								0	2897		523	2	60967		134706	453	199095	0			13337	26		
2471239								0	6724		511	2	67314		63996	358	138545	0			0	0		
