"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
309150	20090331	The Missouri Bank	14036	Warrenton	MO	63383	
309570	20090331	First Mariner Bank	31286	Baltimore	MD	21224	
309655	20090331	REGENT BANK	4160	NOWATA	OK	74048	
309851	20090331	Root River State Bank	1098	Chatfield	MN	55923	
310437	20090331	Southern Commerce Bank, N.A.	26970	Tampa	FL	33610	
310727	20090331	Carolina First Bank	26849	Greenville	SC	29602	
310754	20090331	Equity Bank	16635	Minnetonka	MN	55343	
310875	20090331	Shore Bank	31294	Onley	VA	23418	
310950	20090331	FIRST NATIONAL BANK IN OKEENE	4161	OKEENE	OK	73763	
310978	20090331	WaterStone Bank	28513	Wauwatosa	WI	53226	
311050	20090331	American Heritage Bank	4190	SAPULPA	OK	74067	
311144	20090331	Bank of Bearden	16282	Bearden	AR	71720	
311256	20090331	The First National Bank of Cold Spring	5116	Cold Spring	MN	56320	
311265	20090331	YOAKUM NATIONAL BANK	5595	YOAKUM	TX	77995	
311452	20090331	THE OKEMAH NATIONAL BANK	4163	OKEMAH	OK	74859	
311603	20090331	Dime Bank	18200	Norwich	CT	6360	
311649	20090331	Pinnacle Bank Sioux City	18958	Sioux City	IA	51106	
311658	20090331	The First National Bank of Coleraine	5117	Coleraine	MN	55722	
311845	20090331	ARVEST BANK	8728	FAYETTEVILLE	AR	72701	
311939	20090331	Washington State Bank	9326	Washington	LA	705890129	
312244	20090331	First Bank of Berne	9288	Berne	IN	467111549	
312356	20090331	The Corner Stone Bank	9388	Southwest City	MO	64863	
312730	20090331	Bridgeview Bank Group	21122	Chicago	IL	60640	
313009	20090331	The Upstate National Bank	13748	Rochester	NY	146141418	
313157	20090331	First National Bank	4193	Seiling	OK	736630010	
313223	20090331	OSGOOD STATE BANK	9137	OSGOOD,	OH	453510069	
313241	20090331	Union Bank of Benton	17322	Benton	AR	72015	
313401	20090331	National Union Bank of Kinderhook	7128	Kinderhook	NY	12106	
313531	20090331	Community Bank & Trust of Southeast Alabama	19649	Dothan	AL	36305	
313577	20090331	Marshfield Savings Bank	28530	Marshfield	WI	54449	
314033	20090331	First Lowndes Bank	24957	Fort Deposit	AL	36032	
314257	20090331	THE FIRST NATIONAL BANK OF DEERWOOD	5123	DEERWOOD	MN	564440520	
314444	20090331	Fordyce Bank & Trust Company	1028	Fordyce	AR	71742	
315339	20090331	BRIMFIELD BANK	10856	BRIMFIELD	IL	615170320	
315357	20090331	St. Marys State Bank	15312	St. Marys	KS	66536	
315629	20090331	NexTier Bank, N.A.	7879	Butler	PA	16001	
315656	20090331	First Enterprise Bank	4049	Oklahoma City	OK	73114	
315674	20090331	Hartford Savings Bank	28531	Hartford	WI	53027	
315852	20090331	Eastwood Bank	8208	Kasson	MN	55944	
316354	20090331	Republic Bank, Inc.	22618	Duluth	MN	55811	
316840	20090331	Republic Bank & Trust Company	23627	Louisville	KY	402022700	
316859	20090331	EXCHANGE BANK	10672	SKIATOOK	OK	74070	
316934	20090331	Buckley State Bank	12121	Buckley	IL	60918005	
317100	20090331	NORTH MIDDLESEX SAVINGS BANK	90147	AYER	MA	1432	
317258	20090331	WEST PLAINS BANK AND TRUST COMPANY	15489	WEST PLAINS	MO	65775	
317342	20090331	Stock Yards Bank & Trust Co.	258	Louisville	KY	40206	
317650	20090331	CITIZENS STATE BANK	16934	GANADO	TX	77962	
318639	20090331	Bank of Chestnut	10885	Chestnut	IL	62548	
318835	20090331	Pilot Bank	27045	Tampa	FL	33612	
319047	20090331	The Riddell National Bank	4318	Brazil	IN	47834	
319458	20090331	The First National Bank	4199	Stigler	OK	74462	
319542	20090331	First National Bank of Platteville	5318	Platteville	WI	538183146	
319551	20090331	Security State Bank	18374	Scott City	KS	67871	
320034	20090331	PEOPLES BANK OF GREENSBORO	1730	GREENSBORO	AL	36744	
320052	20090331	Legacy Bank	4042	Hinton	OK	73047	
320070	20090331	Valley Central Savings Bank	28555	Reading	OH	452153295	
320119	20090331	Israel Discount Bank of New York	19977	New York City	NY	100174903	
320155	20090331	COLORADO EAST BANK & TRUST	3027	Lamar	CO	810521019	
320856	20090331	Alliant Bank	15083	Sedgwick	KS	67135	
321152	20090331	Citizens Bank & Trust Co	6100	Atwood	TN	38220	
321255	20090331	FIRST AMERICAN BANK	15762	STONEWALL	OK	74871	
321330	20090331	FARMERS AND MERCHANTS STATE BANK OF BUSHNELL	11324	BUSHNELL	IL	61422	
321947	20090331	FCN Bank N.A.	4319	Brookville	IN	47012	
322056	20090331	National Bank	3214	Gatesville	TX	765280779	
322449	20090331	COMMUNITY STATE BANK	8067	BROOK	IN	47922	
322476	20090331	WABASH SAVINGS BANK	30618	MT CARMEL	IL	62863	
322551	20090331	FIRST SECURITY BANK	1622	UNION STAR	MO	64494	
322757	20090331	FARMERS & MERCHANTS BANK	9188	ADAMSVILLE	TN	38310	
322850	20090331	Bank of Commerce	422	Stilwell	OK	749600512	
323035	20090331	Archer Bank	18625	Chicago	IL	606323691	
323204	20090331	The Lyons National Bank	7151	Lyons	NY	14489	
323651	20090331	Gilmer National Bank	3219	Gilmer	TX	756440460	
323718	20090331	THE FIRST NATIONAL BANK OF WYOMING	4819	WYOMING	DE	19934	
324153	20090331	First National Bank of Giddings	3217	Giddings	TX	78942	
324229	20090331	The Waterford Commercial and Savings Bank	8397	Waterford	OH	45786	
324256	20090331	OKLAHOMA STATE BANK	13416	BUFFALO	OK	73834	
324274	20090331	Roselle Savings Bank	28567	Roselle	NJ	72031281	
324340	20090331	ChoiceOne Bank	1014	Sparta	MI	493450186	
324649	20090331	First National Bank	22391	Hot Springs	AR	71903	
324854	20090331	BANK OF CROCKETT	1468	BELLS	TN	38006	
324863	20090331	THE BANK OF COMMERCE	18059	AMMON	ID	83406	
324975	20090331	Dewitt Savings Bank	29535	Clinton	IL	61727	
325141	20090331	FARMERS BANK	1296	GREENWOOD	AR	72936	
325459	20090331	First State Bank	5999	Temple	OK	73568	
325534	20090331	BYRON BANK	902	BYRON	IL	610100901	
325824	20090331	FIRST NATIONAL BANK OF WELLSTON	6727	WELLSTON	OH	45692	
326054	20090331	Silver Lake Bank	15323	Topeka	KS	66608	
326344	20090331	Peoples State Bank of Newton	11722	Newton	IL	62448	
326858	20090331	The First National Bank in Sioux Falls	4016	Sioux Falls	SD	57117	
326979	20090331	Greenfield Co-operative Bank	26397	Greenfield	MA	13021345	
327015	20090331	The Salt Lick Deposit Bank	8784	Salt Lick	KY	403710157	
327220	20090331	Farmers State Bank	8647	West Salem	OH	44287	
327305	20090331	Katahdin Trust Company	12874	Patten	ME	4765	
327435	20090331	UNITED SOUTHERN BANK	15465	UMATILLA	FL	32784	
327453	20090331	First South Bank	9170	Jackson	TN	38305	
327556	20090331	The First National Bank of Texhoma	4208	Texhoma	OK	73949	
327855	20090331	First National Bank in Graham	3226	Graham	TX	76450	
327949	20090331	FIRST COUNTY BANK	10887	NEW BADEN	IL	62265	
328058	20090331	FIRST NATIONAL BANK	4209	THOMAS	OK	73669	
328151	20090331	Citizens State Bank	17315	Miltonvale	KS	67466	
328357	20090331	FIRST NATIONAL BANK GRAFORD	3225	GRAFORD	TX	76449	
328423	20090331	THE NATIONAL BANK AND TRUST	6731	WILMINGTON	OH	45177	
328450	20090331	Chickasha Bank & Trust Company	21012	Chickasha	OK	73023	
328553	20090331	FirstBank of South Jeffco	22613	Littleton	CO	80162	
328656	20090331	FARMERS STATE BANK OF ADAMS	08821	ADAMS	MN	55909	
328777	20090331	First Savings Bank of Perkasie	30401	Perkasie	PA	18944	
329149	20090331	Bank Plus	16547	Estherville	IA	51334	
329345	20090331	CALHOUN COUNTY BANK	88	HAMPTON	AR	71744	
329550	20090331	INSOUTH BANK	22020	BROWNSVILLE	TN	38012	
329756	20090331	First National Bank of Southern Kansas	4734	Mount Hope	KS	671080189	
329952	20090331	First National Bank of Granbury	3228	Granbury	TX	760480400	
330239	20090331	FIRST NATIONAL BANK	22271	HAMILTON	AL	35570	
330248	20090331	FIRST NATIONAL BANK OF NOKOMIS	15763	NOKOMIS	IL	62075	
330453	20090331	ALTURA STATE BANK	10173	ALTURA	MN	55910	
330855	20090331	The Bank of Missouri	1617	Perryville	MO	63775	
330873	20090331	Wakefield Co-operative Bank	26516	Wakefield	MA	18805013	
330949	20090331	MORGANTOWN BANK & TRUST	275	MORGANTOWN	KY	42261	
331375	20090331	Gloucester Cooperative Bank	26536	Gloucester	MA	1930	
331544	20090331	Richland County Bank	15092	Richland Center	WI	53581	
331553	20090331	NEKOMA STATE BANK	13603	LACROSSE	KS	675480010	
331713	20090331	New Tripoli Bank	7659	NEW TRIPOLI	PA	18066	
332055	20090331	First Bank of Newton	4738	Newton	KS	671140587	
332224	20090331	MECHANICS & FARMERS BANK	12266	DURHAM	NC	27702	
332345	20090331	Oakdale State Bank	11300	Oakdale	IL	62268	
332402	20090331	RANDOLPH SAVINGS BANK	90270	RANDOLPH	MA	02368	
332756	20090331	ADAMS STATE BANK	9812	ADAMS	NE	683010106	
333034	20090331	State Bank of Cochran	872	Cochran	GA	31014	
333052	20090331	FIRST NATIONAL BANK	5090	BATTLE LAKE	MN	565150038	
333203	20090331	UNION BANK	14158	MORRISVILLE	VT	56610667	
333650	20090331	THE BANK	26522	Oberlin	KS	67749	
333856	20090331	Grandview Bank	3230	Grandview	TX	76050	
333940	20090331	The First National Bank of Okawville	3826	Okawville	IL	62271	
334255	20090331	Blaine State Bank	20670	Blaine	MN	55434	
334264	20090331	FIRST COMMUNITY BANK, NATIONAL ASSOCIATION	22964	SAN BENITO	TX	78586	
334648	20090331	Titonka Savings Bank	17302	Titonka	IA	504800309	
334657	20090331	FARMERS & MERCHANTS STATE BANK	1599	BLOOMING PRAIRIE	MN	55917	
335346	20090331	HELENA NATIONAL BANK	15729	HELENA	AR	72342	
335355	20090331	TWO RIVERS  BANK	34468	BLAIR	NE	68008	
335757	20090331	State Bank of Oskaloosa	16205	Oskaloosa	KS	66066	
336147	20090331	United Citizens Bank   Trust Company	15249	Campbellsburg	KY	400110250	
336361	20090331	SANGER BANK	27043	SANGER	TX	762661029	
336576	20090331	The Equitable Bank, SSB	28614	Wauwatosa	WI	53226	
336950	20090331	ASHTON STATE BANK	1436	ASHTON	NE	688170147	
337247	20090331	American Savings Bank	9104	Tripoli	IA	506760909	
337340	20090331	Heritage Bank of Schaumburg	21721	Schaumburg	IL	601944052	
337733	20090331	The Bank of Bonifay	14246	Bonifay	FL	32425	
338178	20090331	Melrose Cooperative Bank	26511	Melrose	MA	02176	
338646	20090331	TrustBank	14662	Olney	IL	62450	
338758	20090331	First National Bank of the Rockies	3041	Grand Junction	CO	81505	
338851	20090331	CAMBRIDGE STATE BANK	10987	CAMBRIDGE	MN	55008	
338945	20090331	1ST COMMUNITY BANK	11706	SHERRARD	IL	612810455	
339054	20090331	Gruver State Bank	16495	Gruver	TX	790400978	
339353	20090331	FIRST SECURITY BANK CANBY	5107	CANBY	MN	56220	
339456	20090331	First Community Bank	24353	Corpus Christi	TX	78401	
339607	20090331	Saco & Biddeford Savings Institution	17743	Saco	ME	04072	
339773	20090331	Needham Bank	26483	Needham	MA	2492	
339858	20090331	Bank of Oklahoma, N.A.	4214	Tulsa	OK	741922300	
339951	20090331	VALLEY VIEW STATE BANK	19631	OVERLAND PARK	KS	66212	
340135	20090331	Bank of Tennessee	21573	KINGSPORT	TN	37660	
340144	20090331	Peoples State Bank	18569	Wausau	WI	544021686	
340256	20090331	21st Century Bank	9751	Loretto	MN	55357	
340443	20090331	FIRST NATIONAL BANK IN PINCKNEYVILLE	13813	PINCKNEYVILLE	IL	62274	
340555	20090331	THE FIRST NATIONAL BANK OF ORDWAY	3045	ORDWAY	CO	81063	
340649	20090331	Citizens State Bank	26720	Pocahontas	IA	50574	
340742	20090331	CENTRAL ILLINOIS BANK	11729	RANTOUL	IL	61866	
340751	20090331	First National Bank, Albany/Breckenridge	3067	Albany	TX	76430	
341178	20090331	Blue Ridge Savings Bank	32347	Asheville	NC	28801	
341851	20090331	Clinton State Bank	01099	Clinton	MN	56225	
341954	20090331	THE FIRST STATE BANK	11140	HALLSVILLE	TX	756500600	
341972	20090331	Tremont Savings Bank	31369	Tremont	IL	61568	
342054	20090331	Phelps County Bank	18841	Rolla	MO	65401	
342175	20090331	Asheville Savings Bank	29663	Asheville	NC	28801	
342362	20090331	First National Bank of Shiner	5529	SHINER	TX	779840607	
342410	20090331	Orrstown Bank	713	Shippensburg	PA	172570250	
342634	20090331	Trustmark National Bank	4988	Jackson	MS	39205	
342643	20090331	FNB Financial	5048	Three Rivers	MI	49093	
343051	20090331	BANK OF EUFAULA	4094	EUFAULA	OK	74432	
343248	20090331	FIRST NATIONAL BANK	4494	PRIMGHAR	IA	512450068	
343257	20090331	UNITED SOUTHWEST BANK	10208	COTTONWOOD	MN	56229	
343341	20090331	Independent Bankers Bank	26820	Springfield	IL	627047407	
343770	20090331	NASHVILLE SAVINGS BANK	29677	NASHVILLE	IL	62263	
343903	20090331	South Adams Savings Bank	90140	Adams	MA	012200306	
343958	20090331	Currie State Bank	08833	Currie	MN	56123	
