"IDRSSD"	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	RCONF670	RCONF671	RCONF672	RCONF673	RCONF674	RCONF675	RCONF676	RCONF677	RCONF678	RCONF679	RCONF680	RCONF681	RIADF184	RIADF560	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	RTL ORGTN QTR 1-4 RES MTG LN TOT CMI	RTL ORGTN QTR 1-4 RES MTG LN PRNPL A	WHOL ORGTN QTR 1-4 RES MTG LN TOT CM	WHOL ORGTN QTR 1-4 RES MTG LN PRNPL 	1-4 RES MTG LN HLD SALE QTR TOT CMTM	1-4 RES MTG LN HLD SALE QTR PRNPL AM	1-4 RES MTG LN HLD SALE TOT CMTM CR	1-4 RES MTG LN HLD SALE QTR PRNPL CR	RPRH INDMN 1-4 RES MTG CL 1ST LIEN	RPRH INDMN 1-4 RES MTG CL JR LIEN	RPRH INDMN 1-4 RES MTG TOT CMTM OL	RPRH INDMN 1-4 RES MTG PRNPL AMT OL	NONINT INC FOR QTR FROM SALE 1-4 MTG	NONINT INC FROM SALE OE 1 TO 4 RES M	
131418	13007	0	0	0	13349	0	3671	0	0	0	0	0	0	0	0	0	0	0	0	0	495	0	
131436																							
131650	59941	0	0	0	61322	0	15929	0	0	0	0	0	0	0	0	0	0	0	0	0	1083	0	
131717																							
131940																							
132107																							
132152																							
132219																							
132451																							
132554																							
132853																							
132938																							
133850	15532	0	0	0	13349	0	4995	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	
133971																							
134156																							
134437																							
134455																							
134848																							
135836																							
135854																							
136048																							
136338																							
136459																							
136655																							
137205																							
137447																							
137456																							
137559																							
137643																							
137652	33137	0	81607	0	102018	0	35858	0	0	0	0	0	0	0	0	0	0	0	0	0	3806	0	
137821																							
137915	21612	0	0	0	19409	0	3621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
138051																							
138257																							
138556																							
138725																							
138752																							
139133																							
139432																							
139478																							
139553																							
139656	0	0	13401	0	14313	0	3151	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	
139740	25867	0	0	0	23741	0	3167	0	0	0	0	0	0	0	0	0	0	0	0	0	571	0	
139834																							
139843	18600	0	0	0	17263	0	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	
139955																							
140018	24686	0	0	0	19421	0	10061	0	0	0	0	0	0	0	0	0	0	0	0	0	643	0	
140157																							
140362																							
140634																							
141211																							
141341																							
141350																							
141453																							
141556	6749	0	0	0	5846	0	1706	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	
141958																							
142049																							
142571																							
142656																							
142955	51954	0	593161	639	648791	452	226953	341	0	0	0	0	0	0	0	0	493	0	0	0	4046	0	
143158																							
143662	205918	0	902	0	189527	0	57407	0	0	0	0	0	0	0	0	0	322	0	0	0	7137	0	
143859																							
143952																							
144034	17802	0	0	0	17759	0	3634	0	0	0	0	0	0	0	0	0	0	0	0	0	503	0	
144052																							
144155																							
144436																							
144856																							
144913																							
145059																							
145545																							
145554																							
145741																							
145750																							
145844																							
145956																							
146056																							
146533																							
146618																							
146654																							
146663	14838	0	0	0	14682	0	2142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
146850																							
147053																							
147633																							
147651																							
147679																							
147857																							
147923																							
148144																							
148238																							
148340																							
148715																							
148809																							
148920																							
149150																							
149253																							
149271																							
150035																							
150044	25915	0	0	0	24395	0	2746	0	0	0	0	0	0	0	0	0	0	0	0	0	824	0	
150156																							
150334																							
150352																							
150727																							
150754																							
151331																							
151546																							
151555																							
151751																							
151818																							
151957	0	0	19811	0	17875	0	6937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
152057																							
152235																							
152253																							
152431																							
152440																							
152673																							
152851																							
153054																							
153353																							
154154																							
154257																							
154770																							
155245	13659	0	0	0	11285	0	3486	0	513	273	0	0	0	0	0	0	0	0	0	0	280	0	
155517																							
155759																							
155777																							
156457																							
156635																							
156952																							
157155																							
157379																							
157650																							
157744																							
157856																							
157904																							
158554																							
158741																							
158750																							
158947																							
158974																							
159636	44177	0	0	0	39666	0	13583	0	0	0	0	0	0	0	0	0	0	0	0	0	780	0	
159645																							
159953																							
160360																							
160454																							
160557																							
160614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
160650																							
160959	19571	0	0	0	20102	0	3547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
161031																							
161273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
161433																							
161602	0	0	60460	0	63653	0	13532	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	
162337																							
163343																							
163370																							
163549	14348	0	0	0	13515	0	2748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
163857																							
164032																							
164153																							
164331																							
164377																							
164854																							
164957																							
164975																							
165039																							
165628	45502	0	0	0	38373	0	19075	0	0	0	0	0	0	0	0	0	0	0	0	0	621	0	
165758																							
165806																							
166111																							
166531																							
166652																							
166803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
166849																							
167060																							
167453																							
167556																							
167565																							
167752																							
167864																							
168441																							
168571																							
169073																							
169327																							
169354																							
169653	118969	7	0	0	104373	6	49265	3	0	0	0	0	0	0	0	0	315	0	0	0	1814	0	
169756																							
169952																							
170051																							
170257																							
170332																							
170640																							
