"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
16953																																							4362	2096	0	110	12080	0	100	150	348	31984	26596	144	26740	0	154	0	0	0	5244	100	31984	0	0	2663	0	0	2400	0	5319	21277			0	12792	12638	81	100	0	0	0	5244	
17110																																							5615	4818	0	100	6570	0	1757	0	2564	107616	90853	1312	92165	0	608	0	0	0	15451	300	107616	0	0	8165	0	0	6986	0	0	90853			0	86800	86192	0	0	0	0	0	15451	
17147																																							39170	67005	17839	8726	478357	527	49782	21779	229087	4434531	3533120	22385	3889535	0	86918	132453	208985	0	544996	10869	4434531	0	0	125163	0	125	413713	25173	483894	3049226			0	3398722	3311804	-4874	52829	0	0	125045	544996	
17259																																							31	843	0	5	25222	0	995	93	2337	65199	51255	1277	57932	0	144	0	3500	0	7267	769	65199	0	0	4990	0	0	769	0	6760	44495			0	35372	35228	739	445	0	1900	0	7267	
17464																																							304020	33960	10845	2009	100324	1379	38025	37654	116465	2269807	1844165	21173	2110292	0	53122	0	244954	0	159515	750	2269807	0	0	80898	0	0	76340	528	218639	1625526			0	1675212	1622090	1527	2508	0	0	0	159515	
17950																																							17	4663	0	173	87094	0	5816	362	4104	246342	204854	2571	222964	0	1728	1695	12189	0	23378	725	246342	0	0	9099	0	0	12050	0	27607	177247			0	144146	142418	1504	0	0	3350	0	23378	
18050																																							3222	7781	763	18061	68634	0	13171	487	2568	296101	255918	1465	257965	0	2270	0	582	0	38136	1214	296101	0	0	27169	0	0	7671	322	66240	189677			0	181127	178857	2082	2235	0	0	0	38136	
18135																																							2113	3013	0	0	45400	0	12663	0	7000	236836	183682	784	218490	0	1389	0	26095	0	18346	456	236836	0	0	11273	0	0	6056	2713	48201	135481			0	142523	141134	561	22800	0	0	7929	18346	
18377																																							10341	7	0	0	8190	0	686	0	405	37140	34170	58	34228	0	117	0	0	0	2912	0	37140	0	0	2760	0	0	0	0	0	34170			0	17628	17511	152	0	0	0	0	2912	
18827																																							32270	5490	1971	0	66634	504	3756	1173	3246	357988	301662	2560	318222	0	2663	0	14000	0	39766	528	357988	0	0	31627	0	0	7248	0	36556	265106			0	245607	242944	363	0	0	0	0	39766	
18836																																							3608	2416	0	0	9377	0	3950	1377	5483	158927	137946	1874	145288	0	1621	0	5468	0	13639	180	158927	0	0	11607	0	0	1676	0	18122	119824			0	127057	125436	176	7280	0	0	0	13639	
18854																																							11653	717	0	0	5539	0	2077	1100	1644	102650	93804	420	94224	0	699	0	0	0	8426	40	102650	0	0	4300	0	0	4060	0	10632	83171			0	78892	78193	26	1727	0	0	0	8426	
