"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF588	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF600	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCON1288	RCON1420	RCON1460	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF588	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF600	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RIADG377	
2678449																																																										0	52	1558		17		0	0			10354	0	1626	0	0	124116	0	0	0	51467	254	3289	64777	7578	22792	6075	5431	3488	5953	16799	17608	16433	8716	5802	179								0	0			0	0	6939	39120	6597	6132			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2679839																																																										0	9947	1884		15		0	1268			24316	13664	1855	0	2057	218966	0	384	0	21763	3200	13803	73697	1341	6515	4027	5555	0	3937	73611	30061	39238	19655	16756	5737								0	410			0	0	19099	39868	44755	35749			0			0	451																									0	0	0	0	0	0	0	0	0	0	0	0	46353	164149	259	
2683014																																																										0	0	29157	0	0	0	0	0	191471	0	191471	102263	1392	0	0	1415097	0	0	0	313118	26719	163129	322813	151955	48565	50268	29734	30486	382	400838	85618	158921	258269	190421	186	0	0	0	0	0	0	0	640	1084	0		0	0	54558	146229	204853	343613	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2683555																																																										0	13243	7750	0	0	0	5	0	14427	0	14427	7444	4339	0	0	213235	127	0	0	40054	4018	5795	78945	3349	7017	17627	6156	64	0	40807	27772	67371	22167	91	278	0	0	0	0	0	0	0	0	0	0		0	0	2718	28631	39728	51005	0	0	0			1402	1046																									0	0	0	0	0	0	0	0	0	0	0	0	932	94992	0	
2684552																																																										0	2258	161		0		949	0			18451	25	15508	0	874	106568	0	139	0	24098	2964	1151	47460	2128	4799	14895	1365	58	466	12817	27734	24937	11986	4198	86								0	0			0	0	15063	8350	8661	9067			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2685241																																																										0	0	0		0		0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0			0	0	0	0	0	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2685504																																																										0	0	7665	0	133	133	0	23674	12486	0	12486	39875	2872	0	0	379102	0	0	0	52552	5872	0	68833	5138	2042	6600	12441	4045	18505	66414	52130	42243	58704	39042	14388	0	0	0	0	0	0	0	0	59	0		0	0	16084	81693	56697	103114	0	0	0			920	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2686211																																																										0	0	14133	0	3010	3010	0	0	22447	0	22447	4283	2450	0	0	349916	1274	0	0	13641	4001	7275	70338	2624	0	595	1807	3222	2109	66354	22815	22878	55613	114187	36932	0	0	0	0	0	0	0	0	0	0	0	0	0	24059	70817	40514	151835	0	0	0	0	0	0	3320	0																								0	0	0	0	0	0	0	0	0	0	0	0	28937	0	468	
2686529																																																										0	0	0		0		0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0			0	0	0	0	0	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2687133																																																										0	3979	16637		135		67	2906			37919	4974	2006	0	29	202521	0	0	0	20759	8872	3123	47627	1886	3536	10707	3236	484	912	28172	23507	64173	35859	16531	1373								0	67			0	0	5914	15601	62937	22625			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
