"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
633501																																							3858	19210	1937	0	128809	0	8658	0	0	28116	1008818	759782	0	15714	898401	0	8123	1070	122905	0	110417	0	1008818	0	0	69785	0	40271	0	80888	678894		0	825283	817160	361	0	0	0	0	
633640																																							14686	4860	0	8016	20805	0	2820	0	0	1290	132335	114889	0	368	116150	0	911	0	893	0	16185	280	132335	0	0	12257	0	3755	427	29551	85338		0	80342	79431	-107	0	0	0	0	
633837																																							467	8625	0	216	11287	0	5923	749	0	5763	179819	137253	0	2502	165207	0	1594	140	25452	0	14612	600	179819	0	0	3156	0	11000	0	22393	114861		0	146943	145349	-144	1300	0	0	0	
634272																																							15	5651	497	0	21387	0	2084	0	0	4711	277516	197613	0	2536	254796	0	2857	0	35000	0	22720	1000	277516	0	0	5816	0	16085	0	34676	162937		0	246028	243171	-181	0	0	16052	3595	
634357																																							29	2382	0	0	35911	0	2977	189	0	3671	153238	136158	0	630	142038	0	915	0	1137	0	11200	858	153238	0	0	9529	0	858	0	17671	118487		0	102269	101354	-45	6725	0	0	4113	
634544																																							27	1027	0	0	18898	0	464	135	0	1246	51125	40718	0	184	44882	0	422	388	3980	0	6243	50	51125	0	0	5590	0	700	207	3553	37165		0	28858	28436	-97	297	0	0	0	
634656																																							193	1343	0	1464	2657	0	299	46	0	1198	29305	22414	0	280	26777	0	454	0	2700	0	2528	100	29305	0	0	1815	0	650	0	2216	20198		0	22559	22105	-37	0	0	936	447	
634731																																							34	1768	0	0	24213	0	815	0	0	1756	52634	44537	0	396	45133	0	191	0	200	0	7501	150	52634	0	0	2638	0	4850	0	7068	37469		0	23210	23019	-137	1029	0	0	0	
634946																																							0	714	0	57	25466	0	106	0	0	240	33847	29790	0	155	30293	0	174	0	0	0	3554	200	33847	0	0	1799	0	1800	0	2496	27294		0	7438	7264	-245	0	0	348	0	
634955																																							455	3492	0	0	43547	0	1074	20	0	1992	121175	90144	0	1389	107082	0	925	0	8471	0	14093	1000	121175	0	0	12788	0	1000	0	18698	71446		0	70934	70009	-695	586	0	2300	4778	
635457																																							1263	781	0	6916	0	0	938	0	0	589	27552	24605	0	37	24781	0	116	0	139	0	2771	403	27552	0	0	1965	0	403	0	4852	19753		0	17181	17065	0	0	0	0	0	
635840																																							461	3117	12	0	34469	0	1170	226	0	5834	95369	83086	0	1833	85996	0	1306	0	0	0	9374	1000	95370	0	0	4338	0	3000	678	7440	75646		0	47657	46351	1036	3051	0	0	1077	
635859																																							41823	67883	3841	133864	300944	0	46405	555	0	85851	3131842	2020941	0	18890	2836465	0	39652	21390	701701	0	295377	45000	3131842	0	0	146959	0	100167	1473	260889	1760052		0	2467465	2427813	3251	0	0	0	94933	
635907																																							33	6888	0	2489	156102	0	6107	0	0	8829	412975	347685	0	3616	360773	0	2296	0	447	0	52202	0	412975	0	0	0	0	51849	0	31285	316400		0	228557	226261	353	6266	0	0	9025	
636342																																							5	1229	0	0	34699	0	903	0	0	743	48891	39256	0	90	44036	0	110	0	2675	0	4855	900	48891	0	0	-21	0	4150	0	4412	34844		0	11422	11312	-174	0	0	0	2015	
636575																																							45	2038	0	0	9802	0	3500	0	0	2456	86466	77234	0	163	77397	0	1762	0	0	0	9069	3039	86466	0	0	-3100	0	9156	0	5982	71252		0	67293	65531	-26	3094	0	0	0	
