"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCFDJ448	RCFDJ449	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	RCONJ448	RCONJ449	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
20370																	CONF	177	477	1744	9606	289	5437	0	0	0	0	0	759	1189	0	0	0	CONF				
20512																	CONF	0	1060	569	5230	0	3046	0	0	0	0	0	555	0	0	0	0	CONF				
20633																	CONF	0	1413	514	10940	297	1795	0	0	0	0	0	1027	6191	0	0	0	CONF				
20857																	CONF	0	454	0	3133	325	736	0	0	0	0	0	1711	232	0	0	0	CONF				
20866																	CONF	0	1630	518	11747	0	3514	2340	0	0	0	0	719	5366	0	0	0	CONF	Tax Receivable			
21256																	CONF	0	87	0	648	0	37	0	0	0	0	0	37	487	0	0	0	CONF				
21359																	CONF	0	114	0	547	27	103	0	0	0	0	0	233	97	0	0	0	CONF				
21630																	CONF	0	383	0	995	21	274	0	0	0	0	0	338	0	0	0	0	CONF				
21658																	CONF	0	442	0	4119	55	628	0	0	0	0	0	760	2289	0	0	0	CONF				
22048																	CONF	76	893	645	9589	380	3333	1175	0	0	0	0	1107	3611	0	0	0	CONF	Note Rec ZM Irrevocable Trust			
22356																	CONF	0	1717	0	8371	287	1254	377	570	0	0	0	2043	3357	0	0	0	CONF	Computer Software	Income Tax Receivable		
22459																	CONF	8	758	100	1773	91	482	0	0	0	0	0	433	0	0	0	0	CONF				
22543																	CONF	0	196	39	1003	377	381	0	0	0	0	0	387	0	0	0	0	CONF	Federal Home Loan Bank Stock			
22552																	CONF	0	309	0	1281	51	303	0	0	0	0	0	669	0	0	0	0	CONF				
22730																	CONF	0	317	0	1299	0	529	0	0	0	0	0	453	0	0	0	0	CONF				
22936																	CONF	0	1306	1151	6166	311	1413	1102	0	0	0	0	2105	191	0	0	0	CONF	Taxes Receivable			
22954																	CONF	0	1297	327	3416	0	407	0	0	0	0	0	723	662	0	0	0	CONF				
23045																	CONF	0	212	0	455	0	71	0	0	0	0	0	172	0	0	0	0	CONF				
23241																	CONF	0	26299	0	88633	0	33728	11039	0	0	0	0	8466	20140	0	0	0	CONF	Equipment leased to others			
23456																	CONF	2	290	0	1496	55	450	0	0	0	0	0	756	0	0	0	0	CONF				
23504																	CONF	0	1219	0	11597	2119	6307	0	0	0	0	0	4071	0	0	0	0	CONF				
23540																	CONF	0	625	0	2462	79	946	0	0	0	0	0	891	0	0	0	0	CONF				
23643																	CONF	0	266	0	2477	0	1118	0	0	0	0	0	1093	0	0	0	0	CONF				
23755																	CONF	0	798	0	2611	0	1471	0	0	0	0	0	342	0	0	0	0	CONF				
23812																	CONF	0	11465	1523	34916	915	17384	0	0	0	0	0	3034	1510	0	0	0	CONF				
24006																	CONF	0	1241	4357	14523	1608	5076	0	0	0	0	0	3849	0	0	0	0	CONF				
24453																	CONF	729	3796	0	6972	0	1709	0	0	0	0	0	1467	0	0	0	0	CONF				
