"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1350	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2800	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1350	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2800	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	
297631																																							197	4798	0	8392	0	28656	462	1066	250	0	1928	111897	92274	1677	0	259	94210	0	1956	0	0	0	17687	570	111897	0	0	15654	0	570	0	19453	72821	1	0	68104	66148	893	
297734																																							100	3175	0	7675	34605	11354	0	1259	0	0	2198	113831	100853	0	0	622	101475	0	1699	223	0	0	12356	200	113831	0	0	5729	0	6379	0	10574	90279	1	0	54941	53242	48	
297761																																							200	3285	95	3445	0	12158	0	1734	0	0	3335	71458	59967	0	0	1102	66069	0	472	0	5000	0	5389	2780	71458	0	0	1916	0	700	2817	12352	47615	2	0	44861	44389	-7	
298049																																							49	2609	0	200	0	20209	0	368	0	0	1001	56199	49399	95	0	413	51407	0	464	0	1500	0	4792	500	56199	0	0	2579	0	1500	0	3573	45826	1	0	32227	31763	213	
298058																																							100	584	0	1902	1551	100	0	203	18	0	605	14473	12987	0	0	164	13151	0	115	0	0	0	1322	100	14473	0	0	321	0	900	0	2787	10200	1	0	9525	9410	1	
298124																																							0	3563	0	6173	867	38273	0	1604	0	0	3968	244612	197068	14533	0	2479	214080	0	3956	0	0	0	30532	7712	244612	0	0	7451	0	14263	0	39706	157362	2	0	194120	190164	1106	
298218																																							7148	4947	0	7000	24983	34776	77	6199	902	0	3427	219965	186903	0	0	644	187547	0	663	0	0	0	32418	0	219965	0	0	25382	0	7945	2281	27992	158911	4	0	128888	128225	-909	
298245																																							4295	2798	0	5450	0	45510	0	933	235	0	1632	135950	114277	0	0	982	116721	0	1015	0	1462	0	19229	400	135950	0	0	17907	0	400	0	8705	105572	5	0	76112	75097	522	
299046																																							0	25681	1514	60665	34459	119604	0	13194	1046	0	14046	829605	650897	105508	0	4810	769260	0	9208	4561	8045	0	60345	2100	829605	0	0	53180	0	4900	4624	118008	532889	2	0	559419	550211	165	
299055																																							0	1253	0	3000	0	8661	0	396	0	0	441	32387	28852	0	0	158	29010	0	214	0	0	0	3377	500	32387	0	0	2340	0	500	0	5311	23541	4	0	18850	18636	37	
299158																																							452	852	0	1750	0	14214	0	226	0	0	618	32693	23785	400	0	279	29964	0	272	0	5500	0	2729	300	32693	0	0	1601	0	700	0	3963	19822	4	0	14853	14581	128	
299251																																							697	735	0	1425	1864	2421	0	124	0	0	232	19058	17483	0	0	115	17598	0	145	0	0	0	1460	50	19058	0	0	316	0	1075	0	2095	15388	4	0	11705	11560	19	
299644																																							18	1227	0	0	4968	8880	0	247	15	0	1265	61640	50130	150	0	698	52190	0	1154	0	1212	0	9450	400	61640	0	0	6803	0	2100	24	2171	47959	4	0	46150	44996	147	
299653																																							451	394	0	150	1666	855	0	436	0	0	429	19593	15260	0	0	34	17978	0	249	0	2684	0	1615	30	19593	0	0	240	0	1345	0	1790	13470	1	0	15461	15212	0	
299868																																							19548	996	0	10496	0	0	0	1604	1288	0	11528	235392	204596	0	0	2256	211852	0	3895	0	5000	0	23540	1113	235392	0	0	20847	0	1580	0	6268	198328	1	0	193827	189932	0	
300009																																							403	4542	399	14572	1356	71190	0	7086	1226	0	4707	298232	250218	1547	0	1134	265346	49	2796	0	12447	0	32837	0	298232	0	0	26037	0	6496	1164	10974	239244	2	0	194383	191587	304	
300036																																							30798	9168	2226	0	2239	33346	254	6837	126	0	12527	324041	258005	5551	0	2240	301051	0	1719	0	35255	0	22990	550	324041	0	0	15333	0	7312	793	20558	237447	1	0	227446	225727	-205	
