"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4635	RIAD4815	RIADB522	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	LOSSES CHARGED TO RESERVE	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	
52764	1151	12	20	0	0	1119	
52951	455	0	58	131	0	528	
53015	218	0	3	0	0	215	
53033	12537	0	90	187	0	12634	
53051	99	0	0	1	0	100	
53239	472	24	3	4	0	449	
53453	181	11	0	8	0	178	
53752	239	0	1	0	0	238	
54049	438	11	1	1	0	427	
54058	1812	80	19	53	0	1766	
54124	577	30	1	18	0	564	
54357	60	1	1	28	0	86	
54375	1665	120	0	230	0	1775	
54441	375	21	0	0	0	354	
54656	451	13	4	25	0	459	
55019	1794	49	44	298	0	1999	
55176	429	0	0	0	0	429	
55251	999	150	2	160	0	1007	
55336	1379	135	18	24	0	1250	
55635	406	1	15	6	0	396	
55653	310	45	16	24	0	273	
55859	425	12	16	15	0	412	
55916	160	1	1	2	0	160	
56230	608	16	4	47	0	635	
56258	1039	28	12	0	0	999	
56351	2324	110	61	202	0	2355	
56427	170	2	0	2	0	170	
56548	797	45	4	9	31	726	
56557	6228	335	72	39	0	5860	
56717	2159	226	8	163	0	2088	
56726	513	25	2	16	0	502	
57040	303	12	1	3	0	293	
57134	3340	100	8	35	0	3267	
57228	680	45	10	65	0	690	
57255	527	25	72	100	0	530	
57451	1420	23	3	0	0	1394	
57572	348	9	0	4	0	343	
57956	865	0	5	15	0	875	
58074	706	45	14	52	0	699	
58207	1380	56	2	6	0	1328	
58225	835	60	26	35	0	784	
58243	12441	618	29	604	0	12398	
58355	39	0	0	0	0	39	
58551	576	0	4	44	0	616	
58636	1239	117	39	95	0	1178	
58757	235	0	4	0	0	231	
58971	27266	1788	459	707	0	25726	
59259	513	0	1	5	0	517	
59316	3260	170	29	239	0	3300	
59352	819	0	0	0	0	819	
59679	82	0	0	0	0	82	
59754	171	10	0	10	0	171	
60143	373106	42504	4878	27915	-13318	366957	
60219	690	45	3	1	0	643	
60330	1371	220	12	185	0	1324	
60433	4494	500	227	793	0	4560	
60545	403	0	0	0	0	403	
60554	369	6	0	2	0	365	
60648	1689	130	19	44	0	1584	
61001	3500	72	31	3	0	3400	
61047	1281	60	7	1	0	1215	
61122	4995	535	103	735	0	5092	
61355	2814	228	318	737	0	3005	
61476	428	4	0	0	0	424	
61533	1017	36	1	42	0	1022	
61757	1297	60	0	32	0	1269	
61832	472	10	1	2	0	463	
61953	206	12	17	31	0	208	
62044	161	12	3	17	0	163	
62101	37594	-3710	1133	3441	0	43612	
62147	300	15	2	4	0	287	
62651	856	58	0	41	0	839	
62709	93	4	1	0	-21	109	
63050	622	0	3	8	0	627	
63069	134727	7500	3876	12084	0	135435	
63078	3004	405	38	103	0	2664	
63201	348	5	2	5	0	346	
63210	2833	0	3	9	0	2839	
63359	885	0	12	30	0	903	
63573	4572	30	31	0	0	4511	
63733	1381	114	11	146	0	1402	
63742	826	149	0	0	0	677	
63751	69	5	1	8	0	71	
63957	1309	310	30	200	0	1169	
64066	3868	250	78	13	0	3553	
64150	193	23	0	0	0	170	
64253	29	0	1	0	0	28	
64543	3380	100	9	61	0	3332	
64552	51	18	0	18	0	51	
64619	10957	1522	107	1619	0	10947	
64646	348	18	30	11	0	311	
64730	1323	30	9	4	0	1288	
64758	378	15	0	15	0	378	
65205	3423	30	1	0	0	3392	
65241	778	40	2	3	0	739	
65513	311	0	0	0	0	311	
65559	1389	96	7	4	0	1290	
65746	5449	120	17	54	0	5366	
65858	4549	0	88	126	0	4587	
66015	2577	300	169	119	0	2227	
66154	613	0	14	6	0	605	
66172	3106	0	25	1	0	3082	
66275	5762	813	109	219	0	5059	
66350	353	40	2	2	0	313	
66613	7311	439	562	5970	0	12280	
66752	230	10	0	5	0	225	
66837	674	88	3	17	0	600	
