RCFD1578,RCFD1752,RCFD2148,RCFD2160,RCFD2166,RCFD2168,RCFD3549,RCFD3550,RCFD3551,RCFDA519,RCFDA520,RCFDB556,RCFDC009,RCFDC010,RCFDFT33,RCFDFT34,RCFDFT35,RCFDHT80,RCFDK201,RCFDK202,RCFDK270,RCON1578,RCON1752,RCON2148,RCON2160,RCON2166,RCON2168,RCON3549,RCON3550,RCON3551,RCONB556,RCONC010,RCONFT33,RCONFT34,RCONFT35,RCONHT80,RCONK201,RCONK202,RCONK270,IDRSSD,RCON9999
0,378767,173437,29918978,0,25893924,21455322,0,0,0,0,395271,,0,,,,,542746,2534833,0,,376394,,,,,,,,,,,,,,,,,35301,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,178437,229713,637520,4366,11654,2085,3673,0,58564,0,,,,,65691,74261,19200,35570,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,111,28,1129,19,66,38,0,0,233,0,,,,,0,0,691,35646,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,942,0,3486,749,749,0,0,0,721,0,,,,,1074,0,0,35842,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1183,514,7382,0,314,0,0,0,700,0,,,,,4671,0,0,35879,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,277,0,4527,544,544,0,0,0,1823,0,,,,,1883,0,0,36456,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,94,956,2308,373,393,0,0,0,418,0,,,,,447,0,0,36933,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,280,79,1456,100,130,30,0,0,543,0,,,,,424,0,0,37051,2015-12-31
,,,,,,,,,,,,,,,,,,,,,8,17,0,1170,37,45,0,0,0,146,0,,,,,962,0,0,37341,2015-12-31
,,,,,,,,,,,,,,,,,,,,,21,996,0,7410,932,2547,0,0,0,3867,0,,,,,0,0,0,37435,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,8571,0,59568,0,11830,5730,0,0,8798,0,,,,,30369,0,0,37640,2015-12-31
,,,,,,,,,,,,,,,,,,,,,3,0,0,1194,13,94,0,0,0,412,0,,,,,688,0,0,37659,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,276,397,1290,44,291,241,0,0,326,0,,,,,0,0,0,37743,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,205,0,8902,83,113,0,0,0,2320,0,,,,,3749,0,2515,37949,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,853,42,6089,212,354,0,0,0,521,0,,,,,4319,0,0,38740,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,0,0,10597,388,839,197,47,206,1251,0,,,,,8453,54,0,39327,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1235,0,12943,968,2274,0,0,0,2602,0,,,,,3363,0,3469,39756,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,231,0,4760,104,368,234,0,0,244,0,,,,,1730,576,1611,40033,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,248,0,774,132,132,0,0,0,394,0,,,,,0,0,0,40350,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,20130,263,84989,0,19498,11608,0,0,4919,0,,,,,33178,1799,5202,40499,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,629,0,1152,36,36,0,0,0,487,0,,,,,0,0,0,40855,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,45,231,1483,26,50,0,0,0,197,0,,,,,486,0,474,41245,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,207,0,2694,39,39,0,0,0,893,0,,,,,1555,0,0,41553,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,598,584,5451,0,3020,2435,0,0,895,0,,,,,354,0,0,41629,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,549,1142,7257,403,660,33,0,0,501,0,,,,,2729,0,1676,41825,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,174,0,828,0,28,0,0,0,626,0,,,,,0,0,0,41937,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,223,0,767,0,210,0,0,0,334,0,,,,,0,0,0,41955,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1929,424,2795,103,103,0,0,0,339,0,,,,,0,0,0,42037,2015-12-31
