RIAD0497,RIAD4042,RIAD4136,RIAD4141,RIAD4146,RIAD4461,RIAD4462,RIAD4463,RIAD4464,RIAD4467,RIAD4468,RIAD4486,RIAD4487,RIAD4488,RIAD4489,RIAD4491,RIAD4498,RIAD4499,RIAD4521,RIAD4522,RIAD4769,RIAD8403,RIADB526,RIADB527,RIADC013,RIADC014,RIADC015,RIADC016,RIADC017,RIADC018,RIADF555,RIADF556,RIADF557,RIADF558,RIADF559,RIADFT29,RIADFT30,RIADFT31,RIADFT32,RIADJJ26,RIADJJ27,RIADJJ28,RIADT047,RIADY923,RIADY924,IDRSSD,RCON9999
21,0,17,0,,0,0,0,14,9,0,,,,,,0,0,0,0,false,11,0,0,0,3,4,1,33,6,9,10,32,3,5,0,0,0,0,,,,2,0,0,21359,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,21630,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,105,,,,,,,0,0,0,0,,,,,,,21658,2017-06-30
58,,1,9,,126,61,,60,,,,,,,,0,0,0,0,false,13,0,0,10,41,14,279,95,24,,48,26,,20,0,0,0,0,,,,,95,30,22048,2017-06-30
,,,,,,,,126,,,,,,,,0,0,0,0,false,,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,22543,2017-06-30
36,0,33,0,,0,0,0,77,0,0,,,,,,0,0,0,0,false,14,0,0,2,0,5,17,13,31,0,22,27,6,15,0,0,0,0,,,,2,0,0,22552,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,167,0,173,0,0,119,0,0,0,0,0,,,,0,0,0,22730,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,338,0,166,0,0,132,0,0,0,0,0,,,,0,0,0,22936,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,23456,2017-06-30
2487,0,571,0,,301,1091,207,788,372,0,,,,,,0,0,0,0,false,0,0,0,0,1128,0,0,1109,0,800,359,780,424,0,0,0,0,0,,,,298,0,326,23504,2017-06-30
