RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCFDJJ24,RCFDJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,58243,2012-06-30
,,,,,,,,,,,,,,,,,,,,58355,2012-06-30
,,,,,,,,,,,,,,,,,,,,58551,2012-06-30
,,,,,,,,,,,,,,,,,,,,58636,2012-06-30
,,,,,,,,,,,,,,,,,,,,58757,2012-06-30
,,,,,,,,,,,,,,,,,,,,58971,2012-06-30
,,,,,,,,,,,,,,,,,,,,59316,2012-06-30
,,,,,,,,,,,,,,,,,,,,59352,2012-06-30
,,,,,,,,,,,,,,,,,,,,59370,2012-06-30
,,,,,,,,,,,,,,,,,,,,59754,2012-06-30
,,,,,,,,,,,,,,,,,,,,60143,2012-06-30
,,,,,,,,,,,,,,,,,,,,60330,2012-06-30
,,,,,,,,,,,,,,,,,,,,60433,2012-06-30
,,,,,,,,,,,,,,,,,,,,60545,2012-06-30
,,,,,,,,,,,,,,,,,,,,60554,2012-06-30
,,,,,,,,,,,,,,,,,,,,60648,2012-06-30
,,,,,,,,,,,,,,,,,,,,61122,2012-06-30
,,,,,,,,,,,,,,,,,,,,61177,2012-06-30
,,,,,,,,,,,,,,,,,,,,61355,2012-06-30
,,,,,,,,,,,,,,,,,,,,61476,2012-06-30
,,,,,,,,,,,,,,,,,,,,61757,2012-06-30
,,,,,,,,,,,,,,,,,,,,61832,2012-06-30
,,,,,,,,,,,,,,,,,,,,61953,2012-06-30
,,,,,,,,,,,,,,,,,,,,62044,2012-06-30
,,,,,,,,,,,,,,,,,,,,62110,2012-06-30
,,,,,,,,,,,,,,,,,,,,62147,2012-06-30
,,,,,,,,,,,,,,,,,,,,62772,2012-06-30
,,,,,,,,,,,,,,,,,,,,63050,2012-06-30
,,,,,,,,,,,,,,,,,,,,63069,2012-06-30
,,,,,,,,,,,,,,,,,,,,63078,2012-06-30
,,,,,,,,,,,,,,,,,,,,63201,2012-06-30
,,,,,,,,,,,,,,,,,,,,63573,2012-06-30
,,,,,,,,,,,,,,,,,,,,63733,2012-06-30
,,,,,,,,,,,,,,,,,,,,63742,2012-06-30
,,,,,,,,,,,,,,,,,,,,63751,2012-06-30
,,,,,,,,,,,,,,,,,,,,64150,2012-06-30
,,,,,,,,,,,,,,,,,,,,64543,2012-06-30
,,,,,,,,,,,,,,,,,,,,64552,2012-06-30
,,,,,,,,,,,,,,,,,,,,64619,2012-06-30
,,,,,,,,,,,,,,,,,,,,64730,2012-06-30
,,,,,,,,,,,,,,,,,,,,65205,2012-06-30
,,,,,,,,,,,,,,,,,,,,65241,2012-06-30
,,,,,,,,,,,,,,,,,,,,65513,2012-06-30
,,,,,,,,,,,,,,,,,,,,65559,2012-06-30
,,,,,,,,,,,,,,,,,,,,65746,2012-06-30
,,,,,,,,,,,,,,,,,,,,65858,2012-06-30
,,,,,,,,,,,,,,,,,,,,66015,2012-06-30
,,,,,,,,,,,,,,,,,,,,66154,2012-06-30
,,,,,,,,,,,,,,,,,,,,66172,2012-06-30
,,,,,,,,,,,,,,,,,,,,66275,2012-06-30
,,,,,,,,,,,,,,,,,,,,66677,2012-06-30
,,,,,,,,,,,,,,,,,,,,67142,2012-06-30
,,,,,,,,,,,,,,,,,,,,67151,2012-06-30
,,,,,,,,,,,,,,,,,,,,67209,2012-06-30
,,,,,,,,,,,,,,,,,,,,67254,2012-06-30
,,,,,,,,,,,,,,,,,,,,67311,2012-06-30
,,,,,,,,,,,,,,,,,,,,67656,2012-06-30
,,,,,,,,,,,,,,,,,,,,67870,2012-06-30
,,,,,,,,,,,,,,,,,,,,68345,2012-06-30
,,,,,,,,,,,,,,,,,,,,68448,2012-06-30
,,,,,,,,,,,,,,,,,,,,68671,2012-06-30
,,,,,,,,,,,,,,,,,,,,68756,2012-06-30
,,,,,,,,,,,,,,,,,,,,68831,2012-06-30
