RCFDJJ03,RCONJJ03,RIAD3123,RIAD4230,RIAD4605,RIAD5523,RIADB522,RIADC079,RIADC233,RIADC389,RIADC390,RIADC435,RIADC781,RIADJH88,RIADJH89,RIADJH90,RIADJH91,RIADJH92,RIADJH93,RIADJH94,RIADJH95,RIADJH96,RIADJH97,RIADJH98,RIADJH99,RIADJJ00,RIADJJ01,RIADJJ02,RIADMG93,RIADMG94,IDRSSD,RCON9999
,,1012,225,14,0,871,98,,,,,,,,,,,,,,,,,,,,,,,27847,2001-09-30
,,2205,0,0,0,2205,0,,,,,,,,,,,,,,,,,,,,,,,28013,2001-09-30
,,237,15,0,0,222,0,,,,,,,,,,,,,,,,,,,,,,,28152,2001-09-30
,,462,-130,62,0,633,103,,,,,,,,,,,,,,,,,,,,,,,28255,2001-09-30
,,277,18,7,0,278,26,,,,,,,,,,,,,,,,,,,,,,,28349,2001-09-30
,,1467,151,8,0,1315,7,,,,,,,,,,,,,,,,,,,,,,,28406,2001-09-30
,,299,206,0,0,147,54,,,,,,,,,,,,,,,,,,,,,,,28572,2001-09-30
,,296,24,8,0,282,18,,,,,,,,,,,,,,,,,,,,,,,28732,2001-09-30
,,2119,514,3,0,1655,53,,,,,,,,,,,,,,,,,,,,,,,29104,2001-09-30
,,237,-35,55,0,220,3,,,,,,,,,,,,,,,,,,,,,,,29159,2001-09-30
,,937,185,15,0,742,5,,,,,,,,,,,,,,,,,,,,,,,29252,2001-09-30
,,3375,743,213,0,3325,906,,,,,,,,,,,,,,,,,,,,,,,29636,2001-09-30
,,240,27,7,0,232,26,,,,,,,,,,,,,,,,,,,,,,,29850,2001-09-30
,,189,33,10,0,160,14,,,,,,,,,,,,,,,,,,,,,,,29944,2001-09-30
,,872,207,37,0,703,75,,,,,,,,,,,,,,,,,,,,,,,29953,2001-09-30
,,4277,295,29,0,4003,50,,,,,,,,,,,,,,,,,,,,,,,30025,2001-09-30
,,329,125,74,0,313,183,,,,,,,,,,,,,,,,,,,,,,,30052,2001-09-30
,,280,26,9,0,253,8,,,,,,,,,,,,,,,,,,,,,,,30146,2001-09-30
,,1357,180,25,0,1155,3,,,,,,,,,,,,,,,,,,,,,,,30155,2001-09-30
,,1473,228,3,0,1275,33,,,,,,,,,,,,,,,,,,,,,,,30258,2001-09-30
,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,30418,2001-09-30
,,3359,623,88,0,2659,11,,,,,,,,,,,,,,,,,,,,,,,30436,2001-09-30
,,3103,450,62,-50,2925,284,,,,,,,,,,,,,,,,,,,,,,,30502,2001-09-30
,,772,165,7,0,695,95,,,,,,,,,,,,,,,,,,,,,,,30650,2001-09-30
