"IDRSSD"	RIAD4097	RIAD4235	RIAD4239	RIAD4341	RIAD4797	RIAD4843	RIAD4844	RIAD4845	RIAD4846	RIADB523	RIADB524	RIADB525	
	NON INT INCM OF INTL BUSINESS	PROV FOR LOAN LOSS, INTL BUSINESS	NON-INT EXPENSE, INTL BUSINESS	NET INCM ATTRIB TO INTL BUSINESS	INCOME TAX ATTRIB TO INTL BUSINESS	NET NON-INT INC(EXP) ATTRIB TO INT O	EST PRETAX INC ATTRIG TO INT OPR	ADJ TO PRETAX INC FOR INTERNAL ALLOC	EST PRETAX INC ATTRIB TO INT OPR AFT	GROSS INTEREST INCOME (INTERNL OPER)	GROSS INTEREST EXPENSE (INTERNL OPER	NET INTEREST INCOME (INTERNATL OPER)	
300157													
300250													
300353													
300371													
300456													
300531													
300933													
300942													
300960													
301640													
301668													
301800													
302030													
302133													
302450													
302553													
302656													
302665													
303345													
303550													
303653													
303701													
303747													
303952													
304034													
304155													
304173													
304520													
304762													
304913	0	0	0	0	0	0	0	0	0	0	0	0	
305059													
305152													
305237													
305433													
305442													
305648													
305750													
305835													
306056													
306140													
306159													
306337													
306739													
306908													
307053													
307062													
307231													
307334													
307361													
307679													
307745													
307932													
307950													
308247													
308256													
308340													
308443													
308649													
308836													
309150													
309347													
309570													
309655													
309664													
309758													
309851													
309936													
310053													
310437													
310727	0	0	0	0	0	0	0	0	0	0	0	0	
310754													
310875													
310950													
310978													
311050													
311144													
311256													
311265													
311331													
311452													
311603													
311649													
311658													
311845													
311939													
312244													
312356													
312431													
312730													
312954													
313009													
313157													
313223													
313241													
313401													
313531													
313577													
314033													
314257													
314444													
315339													
315348													
315357													
315629													
315656													
315674													
315852													
315973													
316354													
316840													
316859													
316916													
316934													
317100													
317258													
317342													
317650													
317735													
318639													
318835													
319047													
319458													
319542													
319551													
320034													
320052													
320070													
320119	22948	775	22628	11443	6602	-455	18045	0	18045	40415	21915	18500	
320155													
320856													
321152													
321255													
321330													
321536													
321844													
321947													
322056													
322449													
322476													
322551													
322757													
322850													
323035													
323204													
323651													
323718													
324153													
324229													
324256													
324274													
324340													
324649													
324854													
324863													
324902													
324975													
325141													
325459													
325534													
325824													
326054													
326250													
326344													
326670													
326858													
326979													
327015													
327220													
327305													
327435													
327453													
327556													
327855													
327949													
328058													
328151													
328357													
328423													
328450													
328553													
328656													
328777													
329149													
329345													
329550													
329578													
329756													
329952													
330239													
330248													
330417													
330453													
330659													
330855													
330873													
330949													
331106													
331375													
331544													
331553													
331656													
331713													
332055													
332224													
332345													
332402													
332644													
332756													
332907													
332970													
333034													
333043													
333052													
333203													
333249													
333650													
333856													
333940													
334059													
334255													
334264													
334648													
334657													
334750													
335346													
335355													
335757													
336071													
336147													
336361													
336576													
336932													
336950													
337247													
337340													
337658													
337733													
337966													
338178													
338646													
338758													
338851													
338945													
339054													
339353													
339456													
339607													
339773													
339858	0	0	0	0	0	0	0	0	0	0	0	0	
339951													
340135													
340144													
340256													
340443													
340555													
340649													
340742													
340751													
341310													
341851													
341918													
341954													
341972													
342054													
342175													
342362													
342410													
342634													
342643													
343051													
343248													
343257													
343314													
343341													
343556													
343770													
343903													
343958													
344236													
344423													
344647													
344674													
344816													
344852													
345149													
345309													
345345													
345747													
345756													
346566													
347022													
347639													
347657													
347956													
348159													
348207													
348458													
348542													
348551													
348720													
348748													
349129													
349165													
349343													
349370													
350433													
350657													
350750													
351131													
351207													
351355													
351560													
351850													
352035													
352651													
352745													
352772													
352820													
352857													
353023													
353069													
353238													
353322													
353359													
353546													
353555													
353724													
353751													
353957													
354057													
354253													
354310													
354552													
354851													
354954													
355120													
355559													
355737													
355746													
355821													
355858													
356145													
356239													
356659													
356752													
356949													
357049													
357151													
357375													
357432													
357526													
357553													
357740													
357777													
357834													
357937													
358112													
358149													
358233													
358448													
358635													
358756													
359070													
359324													
359351													
359360													
359548													
359650													
359744													
359838													
359847													
359856													
359959													
360777													
360834													
360843													
360955													
361055													
361167													
361279													
361354													
361439													
361457													
361541													
361653													
362007													
362043													
362052													
362155													
362445	0	0	0	0	0	0	0	0	0	0	0	0	
362717													
362753													
362856													
362940													
363264													
363415													
363442													
363648													
363657													
363956													
364056													
364131													
364337													
364430													
364449													
364850													
364971													
365325													
365455													
365651													
365745													
365848													
365941													
365950													
366078													
366238													
366247													
366359													
366658													
366854													
367150													
367208													
367244													
367431													
367543													
367552													
367673													
367851													
367954													
368054													
368111													
368175													
368344													
368429													
368447													
368522													
368755													
368933													
368951													
369257													
369426													
369435													
369453													
369659													
370020													
370150													
370338													
370347													
370646													
370721													
370730													
370758													
370833													
370954													
371223													
371232													
371353													
371362													
371559													
371755													
371849													
371858													
371924													
371942													
372248													
372257													
372444													
372538													
372556													
372640													
372855													
373058													
373115													
373553													
373601													
374130													
374149	0	0	0	0	0	0	0	0	0	0	0	0	
374354													
374653													
374774													
374934													
375034													
375043													
375155													
375502													
375566													
375650													
375735													
376068													
376125													
376237													
376433													
376442													
376657													
376947													
377506													
377663													
377850													
377908													
378026													
378044													
378110													
378259													
378549													
378558													
378642													
378651													
378950													
379050													
379153													
379359													
379470													
379649													
379920													
380038													
380346													
380458													
380533													
380654													
380841													
380944													
381026													
381259													
381334													
381343													
381754													
381839													
381857													
381950													
382050													
382069													
382256													
382443													
382537													
382649													
382658													
382667													
382742													
382751													
382854													
383253													
383534													
384018													
384335													
384353													
384652													
384830													
385350													
385547													
385631													
385976													
386049													
386142													
386357													
386432													
386450													
386731													
386825													
386852													
387000													
387055													
387336													
387345													
388155													
388258													
388557													
388744													
388753													
388940													
389059													
389358													
389657													
389826													
390167													
390336													
390457													
390765													
390840													
390925													
391137													
391249													
391418													
391557													
391838													
391959													
391977													
392031													
392152													
392228													
392255													
392358													
392778													
393252													
393355													
393757													
393850													
393953													
394053													
394156													
394259													
394352													
394932													
395238	0	0	0	0	0	0	0	0	0	0	0	0	
395256													
395377													
395452													
395555													
395779													
395836													
396057													
396244													
396253													
396271													
396356													
396879													
396954													
397447													
397456													
397531													
397540													
397559													
397755													
397858													
398051													
398248													
398350													
398631													
398668													
398837													
399067													
399142													
399151													
399357													
399517													
399731													
400057													
400141													
400253													
400365													
400552													
400758													
400767													
400945													
401148													
401447													
401559													
401755													
401906													
401951													
402462													
402837													
402846													
402949													
403058													
403067													
403106													
403151													
403254													
403348													
403357													
403553													
403656													
403937													
403946													
404653													
404774													
404943													
405061													
405641													
405744													
405959													
406022													
406059													
406255													
406349													
406666													
406974													
407168													
407373													
407506													
407645													
407850													
408147													
408307													
408473													
408642													
409265													
409555													
409649													
410056													
410159													
410560													
410748													
410917													
410944													
411053													
411062													
411231													
