"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	
928056																														0	2021	23765	4413	19665		332		44548	6			40163	1515	22432	0	0	193933	0	2763			0	31622	694	25538	61177	4063	12781	8519	970	1568	3333	51734	42489	28858	22384	15143	962								0	0		
928421																														0	42202	23	2271	77847	1	631	630	260	0	27665	0	27665	12194	80495	0	1104	434150	0	0	0	0	86	180495	7849	52544	85724	120600	2883	12515	12157	29669	2671	86458	15285	45619	71537	20939	11179	0	0	0	0	0	0	0	1019	95	0	
928618																														0	41129	187	14674	172054	0	3329	3329	0	0	49763	0	49763	26648	26111	0	2472	572977	0	28695	28695	0	123	188156	13370	48351	82712	36367	72635	49357	18805	2462	5746	151222	107950	81680	25340	14623	0	0	0	0	0	0	0	0	0	6389	0	
928645																														0	23	1966	2498	3212		111		9	0			522	0	6181	0	0	29744	0	0			0	15120	102	0	6456	746	1767	5261	6610	736	0	1845	2098	5266	4863	531	0								0	0		
928850																														22	28186	34570	18098	160949	288	4466	4178	109054	0	226139	23	226162	37321	181276	0	11185	916832	0	0	0	0	54647	34597	40538	5995	379390	2582	4212	2924	7984	11376	5325	545023	25834	83812	148243	67568	10298	22	0	22	0	0	0	0	54	30354	0	
929044																														0	3609	6777	878	5640		148		4779	0			9166	0	1342	0	0	44262	8	0			0	11681	250	11618	16252	957	1559	4196	4104	775	0	3293	10443	7764	8530	1713	819								0	0		
929352																														0	21881	1977	28262	109414	0	678	678	4618	0	135154	0	135154	4631	124444	0	5111	560095	41	19104	19104	0	0	78278	24745	2438	140879	1071	2124	6120	22818	11363	34782	173869	21061	74320	166363	42034	3243	0	0	0	0	0	0	0	0	1839	0	
929802																														0	2142	109	146	22130		5		0	0			24364	8553	41401	0	0	172632	0	0			0	67840	3035	61	15816	2174	142	1204	3786	40496	19600	41596	2228	26961	18005	13890	1251								1915	992		
929932																														0	2617	3787	226	14736		303		998	0			15620	3380	5678	0	279	72283	171	0			0	22016	2545	5371	34823	13337	2781	4187	940	771	0	35749	3035	8821	2612	221	0								0	269		
930358																														2551	10131	689	418	28383		54450		2102	0			18847	1066	254	0	710	128021	0	0			0	1461	0	0	53485	0	83	1269	109	0	0	69086	17221	16463	18260	4779	516								6959	0		
930442																														0	1742	6870	474	20843		273		8764	173			13928	776	18507	0	716	137656	120	0			0	58958	5819	0	40852	1825	6516	31741	4241	10540	3811	17283	15228	26975	14608	3433	825								0	106		
930451																														0	82737	11100	4591	102500	0	1343	1343	6630	87	87923	8959	96882	0	18397	0	44	387300	2	0	0	0	99	57501	4901	1029	127964	23990	3940	9913	9038	7011	2696	178140	53342	32114	33787	24252	4567	0	0	0	0	0	0	0	0	676	2155	
930853																														0	0	2895	0	1598		940		10220	43			4340	0	6387	0	376	34636	0	0			0	7788	92	7788	24284	1636	3035	2469	545	26	0	11155	8458	3840	2755	328	0								0	0		
930965																														0	28470	0	31189	293081	0	737	737	0	0	426406	0	426406	14155	828	0	0	796506	0	0	0	0	28571	1154	0	1146	270673	0	1154	0	0	0	0	303828	67574	225620	54473	118855	11236	0	0	0	0	0	0	0	0	486	0	
931038																														0	1345	13037	81	12169		178		7951	492			5587	0	4923	0	6	72792	0	328			0	24088	1170	16477	17154	55	3572	6311	8876	3129	2145	623	17433	13860	15460	888	0								0	1929		
931047																														0	1217	7079	0	20824		109		5822	0			9391	0	11208	0	0	77871	0	0			0	20612	1609	18185	29246	357	1941	3200	4480	10123	196	10560	16390	10020	10890	7894	0								0	0		
931159																														0	0	3515	0	1603		0		6653	0			1407	15	1345	31	0	16113	0	0			0	1470	74	619	4015	30	253	58	397	553	179	5134	3474	2004	3305	726	0								0	0		
931270																														0	0	0	1910	1976		0		0	0			8	1584	236	0	0	42109	0	0			0	36271	124	6416	140	0	1022	4005	1198	2467	27579	1658	217	1530	923	1213	296								0	0		
931319																														0	0	0	0	0	153839	153839	0	0	0	75496	0	75496	0	0	0	0	229335	0	0	0	0	0	0	0	0	229335	0	0	0	0	0	0	229335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
931355																														0	686	55	0	567		426		643	0			5646	0	6792	0	4	28053	1	0			0	13181	50	60	12160	2831	2217	3371	4207	368	147	4267	3357	3899	3035	172	0								0	4		
931458																														0	98	190	0	245		4		979	0			760	0	567	0	0	5480	23	0			0	2630	30	1954	2048	31	431	941	769	114	344	457	1197	466	604	149	0								0	0		
