RCFD0010,RCFD0022,RCFD0070,RCFD0073,RCFD0074,RCFD0082,RCFD0083,RCFD0085,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,IDRSSD,RCON9999
,,,,,,,,,16190,1542,,2468,,534,59352,2015-03-31
,,,,,,,,,21748,500,,1440,,17525,59370,2015-03-31
,,,,,,,,,,,,,,,59754,2015-03-31
6022474,1094766,,0,167454,,0,78835,4681419,5912915,755780,57896,338985,78835,4681419,60143,2015-03-31
,,,,,,,,,45545,0,,7292,,36822,60330,2015-03-31
,,,,,,,,,,,,,,,60545,2015-03-31
,,,,,,,,,,,,,,,60554,2015-03-31
,,,,,,,,,,,,,,,60648,2015-03-31
,,,,,,,,,44374,7921,,5680,,14321,61122,2015-03-31
,,,,,,,,,,,,,,,61177,2015-03-31
,,,,,,,,,12907,6910,,3392,,267,61355,2015-03-31
,,,,,,,,,,,,,,,61476,2015-03-31
,,,,,,,,,,,,,,,61757,2015-03-31
,,,,,,,,,,,,,,,61832,2015-03-31
,,,,,,,,,,,,,,,61953,2015-03-31
,,,,,,,,,,,,,,,62044,2015-03-31
,,,,,,,,,,,,,,,62110,2015-03-31
,,,,,,,,,,,,,,,62147,2015-03-31
,,,,,,,,,9079,2,,3088,,1850,62772,2015-03-31
,,,,,,,,,,,,,,,63050,2015-03-31
766559,375033,,1003,9324,,80199,80399,220601,766559,312069,10327,62964,160598,220601,63069,2015-03-31
,,,,,,,,,,,,,,,63201,2015-03-31
,,,,,,,,,5475,1042,,422,,1787,63573,2015-03-31
,,,,,,,,,45017,1009,,5051,,29722,63733,2015-03-31
,,,,,,,,,,,,,,,63742,2015-03-31
,,,,,,,,,,,,,,,63751,2015-03-31
,,,,,,,,,,,,,,,64150,2015-03-31
,,,,,,,,,14909,0,,3961,,1176,64543,2015-03-31
,,,,,,,,,,,,,,,64552,2015-03-31
,,,,,,,,,,,,,,,64730,2015-03-31
,,,,,,,,,96085,942,,1385,,74173,65205,2015-03-31
,,,,,,,,,,,,,,,65241,2015-03-31
240744,517,,0,5405,,463,6877,227482,240744,0,5405,517,7340,227482,65513,2015-03-31
,,,,,,,,,41315,2759,,2279,,35809,65559,2015-03-31
,,,,,,,,,40212,0,,3886,,0,65746,2015-03-31
,,,,,,,,,32906,12259,,15494,,4493,65858,2015-03-31
,,,,,,,,,,,,,,,66154,2015-03-31
,,,,,,,,,,,,,,,66275,2015-03-31
,,,,,,,,,,,,,,,66677,2015-03-31
,,,,,,,,,,,,,,,67142,2015-03-31
,,,,,,,,,30490,3846,,2017,,271,67151,2015-03-31
,,,,,,,,,13918,1682,,1819,,1052,67209,2015-03-31
,,,,,,,,,,,,,,,67254,2015-03-31
,,,,,,,,,528068,158932,,148830,,106178,67311,2015-03-31
,,,,,,,,,45550,1172,,2789,,35402,67656,2015-03-31
,,,,,,,,,,,,,,,67870,2015-03-31
,,,,,,,,,,,,,,,68345,2015-03-31
,,,,,,,,,,,,,,,68448,2015-03-31
,,,,,,,,,,,,,,,68671,2015-03-31
,,,,,,,,,38019,6236,,3395,,25361,68756,2015-03-31
,,,,,,,,,,,,,,,68831,2015-03-31
,,,,,,,,,,,,,,,68840,2015-03-31
,,,,,,,,,50491,2752,,3667,,38774,68859,2015-03-31
,,,,,,,,,,,,,,,68943,2015-03-31
,,,,,,,,,54925,5014,,8483,,30961,69333,2015-03-31
,,,,,,,,,64370,595,,3579,,30825,69678,2015-03-31
,,,,,,,,,,,,,,,70058,2015-03-31
,,,,,,,,,,,,,,,70218,2015-03-31
,,,,,,,,,14838,0,,1798,,7199,70414,2015-03-31
,,,,,,,,,,,,,,,70638,2015-03-31
,,,,,,,,,,,,,,,70955,2015-03-31
,,,,,,,,,,,,,,,71073,2015-03-31
,,,,,,,,,28440,6923,,1988,,11521,71318,2015-03-31
,,,,,,,,,31792,0,,1252,,26383,71457,2015-03-31
,,,,,,,,,,,,,,,71859,2015-03-31
,,,,,,,,,31516,0,,1737,,29439,72258,2015-03-31
,,,,,,,,,,,,,,,72351,2015-03-31
,,,,,,,,,,,,,,,72454,2015-03-31
,,,,,,,,,6495,12,,1386,,0,72678,2015-03-31
,,,,,,,,,13871,2500,,1994,,8779,73116,2015-03-31
,,,,,,,,,,,,,,,73152,2015-03-31
,,,,,,,,,,,,,,,73554,2015-03-31
,,,,,,,,,,,,,,,73956,2015-03-31
,,,,,,,,,,,,,,,74056,2015-03-31
,,,,,,,,,21140,8464,,7798,,1067,74140,2015-03-31
,,,,,,,,,,,,,,,74159,2015-03-31
,,,,,,,,,14549,4098,,3554,,5900,74403,2015-03-31
,,,,,,,,,,,,,,,74449,2015-03-31
,,,,,,,,,37268,0,,1982,,34865,75053,2015-03-31
,,,,,,,,,28369,0,,359,,685,75259,2015-03-31
,,,,,,,,,7505,249,,1729,,1782,75446,2015-03-31
,,,,,,,,,,,,,,,75455,2015-03-31
,,,,,,,,,17502,6116,,5384,,4318,75558,2015-03-31
15441662,1187950,,0,1986022,,0,66883,12200807,15441662,884047,1986022,303903,66883,12200807,75633,2015-03-31
,,,,,,,,,,,,,,,75651,2015-03-31
,,,,,,,,,,,,,,,76153,2015-03-31
,,,,,,,,,,,,,,,76443,2015-03-31
,,,,,,,,,,,,,,,76854,2015-03-31
,,,,,,,,,,,,,,,77150,2015-03-31
,,,,,,,,,,,,,,,77253,2015-03-31
,,,,,,,,,,,,,,,77422,2015-03-31
,,,,,,,,,38403,3085,,2506,,23784,77851,2015-03-31
,,,,,,,,,,,,,,,78157,2015-03-31
,,,,,,,,,,,,,,,78241,2015-03-31
,,,,,,,,,,,,,,,78559,2015-03-31
,,,,,,,,,48113,5612,,1224,,29905,78858,2015-03-31
,,,,,,,,,,,,,,,79042,2015-03-31
,,,,,,,,,,,,,,,79127,2015-03-31
,,,,,,,,,,,,,,,79145,2015-03-31
,,,,,,,,,,,,,,,79257,2015-03-31
,,,,,,,,,,,,,,,79855,2015-03-31
,,,,,,,,,,,,,,,80020,2015-03-31
,,,,,,,,,22767,0,,1564,,7606,80150,2015-03-31
,,,,,,,,,,,,,,,80374,2015-03-31
,,,,,,,,,,,,,,,80431,2015-03-31
,,,,,,,,,,,,,,,80552,2015-03-31
,,,,,,,,,,,,,,,80936,2015-03-31
,,,,,,,,,,,,,,,81175,2015-03-31
,,,,,,,,,,,,,,,81429,2015-03-31
,,,,,,,,,,,,,,,82033,2015-03-31
,,,,,,,,,,,,,,,82257,2015-03-31
,,,,,,,,,,,,,,,82350,2015-03-31
,,,,,,,,,,,,,,,82659,2015-03-31
,,,,,,,,,,,,,,,83151,2015-03-31
,,,,,,,,,,,,,,,83236,2015-03-31
,,,,,,,,,23988,10238,,3049,,10529,83375,2015-03-31
206847,18240,,0,426,,0,35293,152888,206847,12292,426,5948,35293,152888,83638,2015-03-31
,,,,,,,,,,,,,,,83834,2015-03-31
,,,,,,,,,,,,,,,83852,2015-03-31
,,,,,,,,,,,,,,,83955,2015-03-31
,,,,,,,,,,,,,,,84046,2015-03-31
,,,,,,,,,,,,,,,84251,2015-03-31
,,,,,,,,,76672,0,,8686,,54497,84541,2015-03-31
,,,,,,,,,,,,,,,84804,2015-03-31
,,,,,,,,,,,,,,,85052,2015-03-31
,,,,,,,,,,,,,,,85258,2015-03-31
,,,,,,,,,,,,,,,85454,2015-03-31
,,,,,,,,,35722,22289,,5764,,3807,85472,2015-03-31
,,,,,,,,,,,,,,,85931,2015-03-31
,,,,,,,,,,,,,,,86349,2015-03-31
,,,,,,,,,,,,,,,86358,2015-03-31
,,,,,,,,,,,,,,,86554,2015-03-31
,,,,,,,,,75451,9,,1854,,64024,86675,2015-03-31
,,,,,,,,,,,,,,,87047,2015-03-31
,,,,,,,,,,,,,,,87159,2015-03-31
,,,,,,,,,,,,,,,87177,2015-03-31
,,,,,,,,,13101,0,,2313,,8965,87234,2015-03-31
,,,,,,,,,,,,,,,87476,2015-03-31
,,,,,,,,,14180,0,,2204,,1804,87579,2015-03-31
,,,,,,,,,23681,1435,,2423,,12145,88231,2015-03-31
,,,,,,,,,1989,0,,442,,0,88240,2015-03-31
,,,,,,,,,,,,,,,88259,2015-03-31
,,,,,,,,,,,,,,,88352,2015-03-31
,,,,,,,,,15581,6306,,2635,,5076,88455,2015-03-31
,,,,,,,,,,,,,,,88530,2015-03-31
,,,,,,,,,22844,0,,1706,,5201,88772,2015-03-31
,,,,,,,,,,,,,,,88950,2015-03-31
,,,,,,,,,,,,,,,89032,2015-03-31
,,,,,,,,,,,,,,,89135,2015-03-31
,,,,,,,,,13098,7372,,3992,,242,89751,2015-03-31
,,,,,,,,,,,,,,,89854,2015-03-31
,,,,,,,,,,,,,,,89957,2015-03-31
,,,,,,,,,,,,,,,90047,2015-03-31
,,,,,,,,,,,,,,,90177,2015-03-31
,,,,,,,,,7397,0,,3587,,2286,90328,2015-03-31
,,,,,,,,,36255,1603,,5556,,23455,90337,2015-03-31
,,,,,,,,,35519,1928,,1868,,23018,90579,2015-03-31
,,,,,,,,,,,,,,,90645,2015-03-31
,,,,,,,,,46354,11900,,5490,,19717,91101,2015-03-31
,,,,,,,,,,,,,,,91156,2015-03-31
,,,,,,,,,,,,,,,91615,2015-03-31
,,,,,,,,,,,,,,,91651,2015-03-31
,,,,,,,,,31824,0,,1259,,4244,91754,2015-03-31
,,,,,,,,,,,,,,,91950,2015-03-31
,,,,,,,,,,,,,,,92050,2015-03-31
,,,,,,,,,,,,,,,92144,2015-03-31
,,,,,,,,,16919,2479,,1268,,11137,92676,2015-03-31
,,,,,,,,,,,,,,,92706,2015-03-31
,,,,,,,,,,,,,,,92902,2015-03-31
,,,,,,,,,,,,,,,93244,2015-03-31
,,,,,,,,,,,,,,,93543,2015-03-31
,,,,,,,,,,,,,,,93619,2015-03-31
,,,,,,,,,,,,,,,93758,2015-03-31
,,,,,,,,,102706,0,,13053,,84869,94139,2015-03-31
,,,,,,,,,,,,,,,94456,2015-03-31
,,,,,,,,,28572,4526,,3260,,11603,94522,2015-03-31
,,,,,,,,,,,,,,,94755,2015-03-31
,,,,,,,,,,,,,,,94858,2015-03-31
,,,,,,,,,,,,,,,95051,2015-03-31
,,,,,,,,,,,,,,,95659,2015-03-31
,,,,,,,,,,,,,,,95677,2015-03-31
,,,,,,,,,,,,,,,96553,2015-03-31
,,,,,,,,,,,,,,,97055,2015-03-31
,,,,,,,,,,,,,,,97279,2015-03-31
,,,,,,,,,,,,,,,97457,2015-03-31
,,,,,,,,,23402,584,,3238,,9200,97804,2015-03-31
,,,,,,,,,,,,,,,97943,2015-03-31
,,,,,,,,,,,,,,,98351,2015-03-31
,,,,,,,,,106140,7782,,3376,,83804,98463,2015-03-31
,,,,,,,,,,,,,,,98717,2015-03-31
,,,,,,,,,,,,,,,99143,2015-03-31
,,,,,,,,,,,,,,,99255,2015-03-31
,,,,,,,,,254667,4433,,1896,,229503,99376,2015-03-31
,,,,,,,,,6661,0,,2566,,0,99442,2015-03-31
,,,,,,,,,63646,2922,,3476,,54591,99536,2015-03-31
,,,,,,,,,,,,,,,99853,2015-03-31
,,,,,,,,,,,,,,,99974,2015-03-31
,,,,,,,,,,,,,,,100236,2015-03-31
