RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2343,RCON2344,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON2604,RCON5590,RCON6648,RCON6810,RCON6835,RCONA241,RCONA242,RCONA243,RCONA244,RCONA579,RCONA580,RCONA581,RCONA582,RCONA584,RCONA585,RCONA586,RCONA587,RCONB549,RCONB550,RCONB551,RCONB552,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT88,RCONMT89,RCONMT90,RCONMT91,RCONMT92,RCONMT93,RCONMT94,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
805,125,0,5534,0,6897,0,0,538,4622,5160,0,40664,0,0,20151,0,15572,4136,6253,6229,12369,0,3878,1872,4355,8075,1270,3830,8539,7047,735,6762,38577,10,2087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363264,2002-12-31
1377443,3136,152632,814908,0,988901,0,0,0,0,0,0,6808377,0,1282460,799463,1263220,716560,3914911,119791,562564,733616,0,0,127087,435477,125931,28065,524236,209380,42684,23163,831709,5525917,1424,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363415,2002-12-31
5365,40,107,1139,0,1934,0,0,0,0,0,0,16496,0,849,2451,427,7606,1074,565,5068,556,0,0,1758,3310,1789,749,897,349,1104,101,1787,15647,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363442,2002-12-31
12201,0,1617,5072,0,18612,0,0,0,0,0,0,66203,0,13100,20705,0,21547,11750,6452,17469,19514,0,0,6689,10780,3803,275,9313,10201,990,201,16995,53103,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363648,2002-12-31
10111,475,6851,42088,0,74346,0,0,0,0,0,0,203478,0,10294,38746,12847,99666,54955,35748,52453,20552,0,0,22955,31926,25442,19343,6190,14362,9052,9142,67020,193184,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363657,2002-12-31
23,0,0,585,0,585,0,0,0,0,0,0,32962,0,0,30300,0,2639,0,0,2639,30300,0,0,2639,0,0,0,14700,15600,0,0,585,32962,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363956,2002-12-31
1305,9,0,4540,0,8157,0,0,0,0,0,0,29509,0,0,4814,0,20932,2458,2436,9311,2822,0,0,3115,6196,8822,2798,978,1844,1591,401,8148,29509,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364056,2002-12-31
5647,0,5139,11556,0,24850,0,0,0,0,0,0,63087,0,3320,14663,8025,33805,8972,5116,30553,13948,0,0,10158,20395,2788,464,5348,8600,615,100,19711,59767,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364131,2002-12-31
7595,5,2451,6420,0,19098,0,0,0,0,0,0,32492,0,3167,6542,1577,14077,4278,1431,10582,4916,0,0,3264,7318,2799,696,2243,2673,1325,301,16642,29325,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364337,2002-12-31
3871,14,2526,11281,0,17959,0,0,0,0,0,0,24047,0,3556,7241,4976,10914,2021,2247,8727,5801,0,0,3393,5339,1911,271,2789,3011,915,526,15419,19993,0,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364430,2002-12-31
261939,34,11253,49992,0,63424,0,0,0,0,0,0,950364,0,79127,119368,1548,228202,340855,40595,90278,76995,0,0,28728,62301,87329,49844,58859,18404,25873,16232,51459,870933,678,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364449,2002-12-31
5229,7,662,3325,0,7460,0,0,395,750,1145,0,19797,0,1918,1250,1708,6122,7196,3077,5300,1150,297,750,1527,3773,511,311,800,350,0,100,6791,17879,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364850,2002-12-31
