"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4815	RIADB522	RIADC079	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	
2845755	160	65	0	0	95	0	
2845782	0	0	0	0	0	0	
2846051	269	110	0	0	159	0	
2846444	391	269	0	0	132	10	
2846453	40	19	0	0	21	0	
2846574	705	225	0	0	480	0	
2847085	85	20	0	0	65	0	
2847142	267	18	0	0	249	0	
2847432	238	85	0	0	154	1	
2847900	202	22	0	0	180	0	
2848037	844	258	0	0	586	0	
2848055	260	90	2	0	171	3	
2848493	785	49	46	0	844	154	
2848671	307	68	0	0	239	0	
2848756	386	91	1	0	294	0	
2848895	246	64	0	0	187	5	
2849212	284	125	0	0	159	0	
2849285	118	42	0	0	77	1	
2849605	359	95	0	0	264	0	
2849801	755	230	0	-75	600	0	
2849829	856	191	0	0	665	0	
2850535	0	0	0	0	0	0	
2850629	400	60	0	0	340	0	
2850722	14972	4187	144	-1700	13907	1566	
2850768	312	118	0	0	194	0	
2851028	554	16	0	0	597	59	
2851185	373	166	1	0	212	6	
2853349	209	47	0	0	162	0	
2853358	811	321	0	0	490	0	
2854113	810	353	0	0	457	0	
2854140	237	145	0	0	92	0	
2854494	342	68	1	0	304	31	
2855071	354	147	0	0	207	0	
2855156	74	30	0	0	44	0	
2855307	249	115	1	0	138	5	
2855633	148	48	0	0	100	0	
2855866	140	75	0	0	67	2	
2855884	349	111	0	0	238	0	
2855893	385	45	0	0	340	0	
2855914	324	158	0	0	166	0	
2855950	527	156	0	0	371	0	
2855978	480	280	0	0	200	0	
2856032	474	217	0	0	257	0	
2856395	145	55	0	0	90	0	
2856500	1099	463	0	0	636	0	
