RCONJJ04,RCONJJ05,RCONJJ06,RCONJJ07,RCONJJ08,RCONJJ09,RCONJJ11,RCONJJ12,RCONJJ13,RCONJJ14,RCONJJ15,RCONJJ16,RCONJJ17,RCONJJ18,RCONJJ19,RCONJJ20,RCONJJ21,RCONJJ23,RCONJJ24,RCONJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,48552,2001-03-31
,,,,,,,,,,,,,,,,,,,,48673,2001-03-31
,,,,,,,,,,,,,,,,,,,,48730,2001-03-31
,,,,,,,,,,,,,,,,,,,,49054,2001-03-31
,,,,,,,,,,,,,,,,,,,,49148,2001-03-31
,,,,,,,,,,,,,,,,,,,,49241,2001-03-31
,,,,,,,,,,,,,,,,,,,,49344,2001-03-31
,,,,,,,,,,,,,,,,,,,,49362,2001-03-31
,,,,,,,,,,,,,,,,,,,,49540,2001-03-31
,,,,,,,,,,,,,,,,,,,,49643,2001-03-31
,,,,,,,,,,,,,,,,,,,,49652,2001-03-31
,,,,,,,,,,,,,,,,,,,,49821,2001-03-31
,,,,,,,,,,,,,,,,,,,,49858,2001-03-31
,,,,,,,,,,,,,,,,,,,,49951,2001-03-31
,,,,,,,,,,,,,,,,,,,,50144,2001-03-31
,,,,,,,,,,,,,,,,,,,,50461,2001-03-31
,,,,,,,,,,,,,,,,,,,,50546,2001-03-31
,,,,,,,,,,,,,,,,,,,,50854,2001-03-31
,,,,,,,,,,,,,,,,,,,,50957,2001-03-31
,,,,,,,,,,,,,,,,,,,,51253,2001-03-31
,,,,,,,,,,,,,,,,,,,,51347,2001-03-31
,,,,,,,,,,,,,,,,,,,,51356,2001-03-31
,,,,,,,,,,,,,,,,,,,,51459,2001-03-31
,,,,,,,,,,,,,,,,,,,,51730,2001-03-31
,,,,,,,,,,,,,,,,,,,,51842,2001-03-31
,,,,,,,,,,,,,,,,,,,,51972,2001-03-31
,,,,,,,,,,,,,,,,,,,,52410,2001-03-31
,,,,,,,,,,,,,,,,,,,,52456,2001-03-31
,,,,,,,,,,,,,,,,,,,,52719,2001-03-31
,,,,,,,,,,,,,,,,,,,,52755,2001-03-31
,,,,,,,,,,,,,,,,,,,,52764,2001-03-31
,,,,,,,,,,,,,,,,,,,,52951,2001-03-31
,,,,,,,,,,,,,,,,,,,,53015,2001-03-31
,,,,,,,,,,,,,,,,,,,,53033,2001-03-31
,,,,,,,,,,,,,,,,,,,,53051,2001-03-31
,,,,,,,,,,,,,,,,,,,,53239,2001-03-31
,,,,,,,,,,,,,,,,,,,,53453,2001-03-31
,,,,,,,,,,,,,,,,,,,,53752,2001-03-31
,,,,,,,,,,,,,,,,,,,,54049,2001-03-31
,,,,,,,,,,,,,,,,,,,,54058,2001-03-31
,,,,,,,,,,,,,,,,,,,,54124,2001-03-31
,,,,,,,,,,,,,,,,,,,,54357,2001-03-31
,,,,,,,,,,,,,,,,,,,,54375,2001-03-31
,,,,,,,,,,,,,,,,,,,,54441,2001-03-31
,,,,,,,,,,,,,,,,,,,,54656,2001-03-31
,,,,,,,,,,,,,,,,,,,,55019,2001-03-31
,,,,,,,,,,,,,,,,,,,,55176,2001-03-31
,,,,,,,,,,,,,,,,,,,,55251,2001-03-31
,,,,,,,,,,,,,,,,,,,,55336,2001-03-31
,,,,,,,,,,,,,,,,,,,,55635,2001-03-31
,,,,,,,,,,,,,,,,,,,,55653,2001-03-31
,,,,,,,,,,,,,,,,,,,,55859,2001-03-31
,,,,,,,,,,,,,,,,,,,,55916,2001-03-31
,,,,,,,,,,,,,,,,,,,,56230,2001-03-31
,,,,,,,,,,,,,,,,,,,,56258,2001-03-31
,,,,,,,,,,,,,,,,,,,,56351,2001-03-31
,,,,,,,,,,,,,,,,,,,,56427,2001-03-31
,,,,,,,,,,,,,,,,,,,,56548,2001-03-31
,,,,,,,,,,,,,,,,,,,,56557,2001-03-31
,,,,,,,,,,,,,,,,,,,,56717,2001-03-31
,,,,,,,,,,,,,,,,,,,,56726,2001-03-31
,,,,,,,,,,,,,,,,,,,,57040,2001-03-31
,,,,,,,,,,,,,,,,,,,,57134,2001-03-31
,,,,,,,,,,,,,,,,,,,,57228,2001-03-31
,,,,,,,,,,,,,,,,,,,,57255,2001-03-31
,,,,,,,,,,,,,,,,,,,,57451,2001-03-31
,,,,,,,,,,,,,,,,,,,,57572,2001-03-31
,,,,,,,,,,,,,,,,,,,,57956,2001-03-31
,,,,,,,,,,,,,,,,,,,,58074,2001-03-31
,,,,,,,,,,,,,,,,,,,,58207,2001-03-31
,,,,,,,,,,,,,,,,,,,,58225,2001-03-31
,,,,,,,,,,,,,,,,,,,,58243,2001-03-31
,,,,,,,,,,,,,,,,,,,,58355,2001-03-31
,,,,,,,,,,,,,,,,,,,,58551,2001-03-31
,,,,,,,,,,,,,,,,,,,,58636,2001-03-31
,,,,,,,,,,,,,,,,,,,,58757,2001-03-31
,,,,,,,,,,,,,,,,,,,,58971,2001-03-31
,,,,,,,,,,,,,,,,,,,,59259,2001-03-31
,,,,,,,,,,,,,,,,,,,,59316,2001-03-31
,,,,,,,,,,,,,,,,,,,,59352,2001-03-31
