"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
825753															0	578	0	2019	281	281	0	0	0	0	0	1160	0	0				
825847															0	410	0	2936	39	49	0	0	0	0	0	2477	0	0				
825940															0	475	0	1227	39	39				0	0	713	0	0				
825977															0	2527	0	3228	0	146	45	0	0	0	0	555	0	0	Intangible Assets - Directors Retirement Plan                                                                                                                                                    			
826255															0	431	0	803	20	53	0	0	0	0	0	319	0	4				
826451															0	0	0	1747	0	1353	0	0	0	0	0	394	969	0				
826648															0	0	0	1317	0	5	0	0	0	0	0	1312	0	0				
826956															0	909	0	6433	0	2191	1381	0	0	0	0	3333	656	0	Accounts Receivable                                                                                                                                                                              			
827346															0	50	0	228	0	6	0	0	0	0	0	172	0	0				
827355															4	71	0	1186	56	210	150	0	0	0	0	905	0	0	COMMUNITY DEVELOPMENT CORP INVEST                                                                                                                                                                			
827458															174	568	401	4060	102	1248	0	0	0	0	0	1843	925	0				
827560	0	4788	6659	21223	0	7189	0	0	0	0	0	2587	5815	63		4787																
827953															114	769	0	1500	108	255	0	0	0	0	0	476	0	0				
828053															2	266	0	740	67	76	0	0	0	0	0	398	0	0				
828110															0	44	0	1618	128	128	0	0	0	0	0	1446	0	0				
828530															0	5274	0	10524	0	3048	0	0	0	0	0	2202	2683	0				
828651															0	2441	0	7612	477	1322	0	0	0	0	0	3849	0	0				
828745															0	0	0	305	0	2	0	0	0	0	0	303	0	0				
829032															0	246	0	982	0	610	541			0	0	126	0	0	Accrued Interest Securities                                                                                                                                                                      			
829041															0	571	23	1608	59	63	0	0	0	0	0	951	0	0				
829050															83	1061	0	3854	657	740	0	0	0	0	0	2053	0	0				
829256															0	1250	0	3842	308	1090	431	0	0	0	0	1502	0	0	Computer Software - Net                                                                                                                                                                          			
829452															0	0	0	1094	0	7	0	0	0	0	0	1087	0	0				
830113															0	358	249	2551	30	1477	0	0	0	0	0	467	1443	0				
830168															0	50	0	445	41	53	0	0	0	0	0	342	0	0				
830252															0	0	0	2246	0	2026	0	0	0	0	0	220	1488	0				
830355															0	300	0	3837	78	228	0	0	0	0	0	3309	0	0				
830458															0	0	0	40	0	38	1	37	0	0	0	2	0	0	Intercompany Receivable                                                                                                                                                                          	NYCE Sponsorship Receivable                                                                                                                                                                      		
830542															0	1080	858	10437	0	5738	0	0	0	0	0	2761	5153	0				
830645															0	477	0	984	41	41				0	0	466	0	0				
830748															0	1518	0	3634	44	44	0	0	0	0	0	2072	0	0				
831008															0	1788	1723	5793	181	326	143	0	0	0	0	1956	0	0	Software                                                                                                                                                                                         			
831044															0	5	0	925	0	364	364	0	0	0	0	556	0	0	INTEREST REC INVESTMENTS                                                                                                                                                                         			
831053															0	65	95	1392	4	731	0	0	0	0	0	501	727	0				
831352															0	0	0	446	13	13	0	0	0	0	0	433	0	0				
831549															0	92	0	418	0	125	0	0	0	0	0	201	125	0				
831576															0	2219	484	5051	240	1538	331	850	0	0	0	810	0	0	SBA serv rts                                                                                                                                                                                     	Inc Tax Rec                                                                                                                                                                                      		
831642															0	4219	719	11071	131	5239	94	0	0	0	0	894	5014	0	Accounts Receivable                                                                                                                                                                              			
831727															0	969	0	3478	578	579	0	0	0	0	0	1930	0	0				
831857															0	583	140	2894	0	1622	0	0	0	0	0	549	1352	0				
831941															0	736	0	1885	0	370	0	0	0	0	0	779	320	0				
