RCFD3561,RCFD3562,RCFD7701,RCFD7702,IDRSSD,RCON9999
,,,,91950,2003-12-31
,,,,91969,2003-12-31
,,,,92050,2003-12-31
,,,,92144,2003-12-31
,,,,92162,2003-12-31
,,,,92630,2003-12-31
,,,,92706,2003-12-31
,,,,92854,2003-12-31
,,,,92902,2003-12-31
,,,,93244,2003-12-31
,,,,93329,2003-12-31
,,,,93413,2003-12-31
,,,,93543,2003-12-31
,,,,93619,2003-12-31
,,,,93628,2003-12-31
,,,,93721,2003-12-31
,,,,93758,2003-12-31
,,,,94139,2003-12-31
,,,,94447,2003-12-31
,,,,94456,2003-12-31
,,,,94522,2003-12-31
,,,,94661,2003-12-31
,,,,94755,2003-12-31
,,,,94858,2003-12-31
,,,,95051,2003-12-31
,,,,95659,2003-12-31
,,,,95725,2003-12-31
,,,,96254,2003-12-31
,,,,96357,2003-12-31
,,,,96553,2003-12-31
,,,,97055,2003-12-31
,,,,97279,2003-12-31
,,,,97457,2003-12-31
,,,,97804,2003-12-31
,,,,97943,2003-12-31
,,,,98351,2003-12-31
,,,,98454,2003-12-31
,,,,98463,2003-12-31
,,,,98548,2003-12-31
,,,,98557,2003-12-31
,,,,98641,2003-12-31
0,0,0.0000,0.0000,98717,2003-12-31
,,,,99004,2003-12-31
,,,,99059,2003-12-31
,,,,99143,2003-12-31
,,,,99255,2003-12-31
,,,,99442,2003-12-31
,,,,99536,2003-12-31
,,,,99853,2003-12-31
,,,,99974,2003-12-31
,,,,100160,2003-12-31
,,,,100236,2003-12-31
,,,,100357,2003-12-31
,,,,100553,2003-12-31
,,,,100562,2003-12-31
,,,,100843,2003-12-31
0,0,0.0000,0.0000,101019,2003-12-31
,,,,101037,2003-12-31
,,,,101233,2003-12-31
,,,,101327,2003-12-31
,,,,101345,2003-12-31
,,,,101439,2003-12-31
,,,,101671,2003-12-31
,,,,101738,2003-12-31
,,,,101952,2003-12-31
,,,,102155,2003-12-31
,,,,102333,2003-12-31
,,,,102342,2003-12-31
,,,,102539,2003-12-31
,,,,102557,2003-12-31
,,,,103134,2003-12-31
,,,,103255,2003-12-31
,,,,103536,2003-12-31
,,,,103554,2003-12-31
,,,,103563,2003-12-31
,,,,103602,2003-12-31
,,,,104038,2003-12-31
,,,,104056,2003-12-31
,,,,104234,2003-12-31
