RCFN2133,RCFN2898,IDRSSD,RCON9999
,,236706,2018-06-30
,,236957,2018-06-30
,,237066,2018-06-30
,,237619,2018-06-30
,,237954,2018-06-30
,,238139,2018-06-30
,,238250,2018-06-30
,,238737,2018-06-30
,,239275,2018-06-30
,,239556,2018-06-30
,,239613,2018-06-30
,,239659,2018-06-30
,,239752,2018-06-30
,,240954,2018-06-30
,,241009,2018-06-30
,,241157,2018-06-30
,,241559,2018-06-30
,,241607,2018-06-30
,,242257,2018-06-30
,,242444,2018-06-30
,,242949,2018-06-30
,,242958,2018-06-30
,,242976,2018-06-30
,,243375,2018-06-30
,,243414,2018-06-30
,,243955,2018-06-30
,,244037,2018-06-30
,,244149,2018-06-30
,,244158,2018-06-30
,,244251,2018-06-30
18383,276904,245016,2018-06-30
,,245276,2018-06-30
,,245351,2018-06-30
,,245557,2018-06-30
,,246022,2018-06-30
,,246134,2018-06-30
,,246237,2018-06-30
,,246451,2018-06-30
,,246657,2018-06-30
,,246947,2018-06-30
,,246956,2018-06-30
,,247140,2018-06-30
,,247355,2018-06-30
,,247476,2018-06-30
,,247551,2018-06-30
,,247908,2018-06-30
,,248240,2018-06-30
,,248352,2018-06-30
,,248455,2018-06-30
,,248633,2018-06-30
,,248745,2018-06-30
,,249416,2018-06-30
,,249564,2018-06-30
,,249612,2018-06-30
,,249658,2018-06-30
,,249957,2018-06-30
,,250430,2018-06-30
,,250476,2018-06-30
,,250850,2018-06-30
,,251352,2018-06-30
,,251558,2018-06-30
,,251745,2018-06-30
,,251857,2018-06-30
,,251978,2018-06-30
,,252041,2018-06-30
,,252256,2018-06-30
,,252452,2018-06-30
,,252658,2018-06-30
,,253356,2018-06-30
,,253468,2018-06-30
,,253646,2018-06-30
,,253730,2018-06-30
,,253776,2018-06-30
,,254317,2018-06-30
,,254504,2018-06-30
,,254849,2018-06-30
,,255350,2018-06-30
,,255547,2018-06-30
,,255556,2018-06-30
,,255574,2018-06-30
,,255659,2018-06-30
,,255873,2018-06-30
,,256049,2018-06-30
,,256058,2018-06-30
,,256076,2018-06-30
,,256179,2018-06-30
,,256553,2018-06-30
,,257233,2018-06-30
,,257345,2018-06-30
,,257466,2018-06-30
,,257578,2018-06-30
,,257653,2018-06-30
,,257756,2018-06-30
,,258146,2018-06-30
,,258306,2018-06-30
,,258379,2018-06-30
,,258445,2018-06-30
,,258539,2018-06-30
,,258771,2018-06-30
,,258874,2018-06-30
,,259059,2018-06-30
,,259330,2018-06-30
,,259442,2018-06-30
,,259956,2018-06-30
,,260055,2018-06-30
,,260831,2018-06-30
,,260868,2018-06-30
,,261146,2018-06-30
,,261360,2018-06-30
,,261940,2018-06-30
,,262059,2018-06-30
,,262237,2018-06-30
,,262358,2018-06-30
,,262741,2018-06-30
,,262844,2018-06-30
,,262956,2018-06-30
,,263243,2018-06-30
,,263551,2018-06-30
,,263627,2018-06-30
,,264455,2018-06-30
,,264772,2018-06-30
,,265340,2018-06-30
,,265407,2018-06-30
,,265452,2018-06-30
,,265676,2018-06-30
,,266066,2018-06-30
,,266244,2018-06-30
,,266253,2018-06-30
,,266271,2018-06-30
,,266655,2018-06-30
,,266851,2018-06-30
,,266945,2018-06-30
,,267652,2018-06-30
,,268006,2018-06-30
,,268136,2018-06-30
,,268677,2018-06-30
,,268828,2018-06-30
,,268976,2018-06-30
,,269049,2018-06-30
,,269058,2018-06-30
,,269571,2018-06-30
,,269759,2018-06-30
,,270148,2018-06-30
,,270353,2018-06-30
,,270504,2018-06-30
,,270531,2018-06-30
,,270652,2018-06-30
,,271136,2018-06-30
,,271275,2018-06-30
,,271341,2018-06-30
,,271529,2018-06-30
