RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999,RCON8678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13691,60165,0,49630,3081576,3498857,0,0,594514,10871,4093371,0,0,148427,3195,125,430469,12257,601322,2480254,,0,2712938,2639864,4622,0,0,27946,117097,594514,,,17147,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,2283,0,2152,52839,57855,0,0,7721,769,65576,0,0,5302,0,0,769,0,6349,46491,,0,33231,33026,881,46,0,0,0,7721,,,17259,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200796,32841,1173,34227,1148706,1234873,0,0,157752,750,1392625,0,0,-72256,0,0,226740,103,188010,960696,,0,929218,898508,2518,2115,0,0,0,157752,,,17464,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6962,7027,0,5458,263705,266735,0,0,27796,725,294531,0,0,12529,0,0,12050,496,41737,221968,,0,150747,147999,2492,0,0,0,0,27796,,,17950,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24252,10585,0,12328,342061,344049,0,0,43076,1214,387125,0,0,30735,0,0,7671,500,106558,235503,,0,191910,189225,3456,10000,0,0,0,43076,,,18050,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,4974,0,12152,174089,217685,0,0,20539,456,238224,0,0,12938,0,0,6056,1928,56531,117558,,0,131038,129619,1089,22800,0,0,16745,20539,,,18135,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16459,24,0,1006,42219,42277,0,0,3534,0,45811,0,0,3364,0,0,0,0,0,42219,,0,19413,19211,170,0,0,0,0,3534,,,18377,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27863,5868,2140,3588,352575,353299,0,0,39683,528,392982,0,0,33844,0,0,7248,0,49766,302809,,0,296284,291742,-1937,0,0,0,0,39683,,,18827,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5941,2512,0,4525,139144,143603,0,0,13508,180,157111,0,0,11549,0,0,1676,0,21086,118058,,0,118740,116491,103,4858,0,0,0,13508,,,18836,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29038,3438,0,3684,176648,178100,0,0,23185,40,201285,0,0,17092,0,0,6060,0,50130,126518,,0,159086,157365,-7,0,0,0,0,23185,,,18854,2011-09-30,
