RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3425,3782,0,1671,89847,91157,0,0,15735,300,106892,0,0,8449,,0,6986,0,0,89847,1,1231,0,84935,84327,0,0,0,0,0,15735,,,17110,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39538,41474,0,19659,1596591,1838761,0,0,194723,5985,2033484,0,0,106077,,125,86838,1809,227144,1369447,2,1231,0,1610805,1581748,-4302,80341,0,31730,56791,194723,,,17147,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1023,0,1020,53486,58155,0,0,6830,769,64985,0,0,4728,,0,769,0,7242,46244,4,1231,0,32839,32676,564,1779,0,0,0,6830,,,17259,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75826,36771,1473,39410,1841578,2099833,0,0,196623,750,2296456,0,0,119456,,0,76340,1952,201852,1639726,1,1231,0,1933215,1883494,77,2994,0,0,3703,196623,,,17464,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4554,0,5791,197348,214253,0,0,20178,725,234431,0,0,8330,,0,10550,0,26345,171003,8,0731,0,140839,139265,573,0,0,2600,0,20178,,,17950,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,14114,0,13489,262156,264176,0,0,36497,1214,300673,0,0,25957,,0,7671,371,66514,195642,2,1231,0,175458,173269,1655,4730,0,0,0,36497,,,18050,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5127,6461,0,12856,164779,201452,0,0,17889,456,219341,0,0,11130,,0,6056,3255,41011,123768,2,1231,0,141870,140623,247,8931,0,0,9939,17889,,,18135,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6873,1,0,694,27854,27972,0,0,2688,0,30660,0,0,2618,,0,0,0,0,27854,1,1231,0,16188,16071,70,0,0,0,0,2688,,,18377,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53050,5672,523,2075,313876,329603,0,0,36446,528,366049,0,0,30021,,0,7248,0,36836,277040,2,1231,0,230531,227982,-1351,0,0,0,0,36446,,,18827,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2411,0,3935,129293,136730,0,0,13447,180,150177,0,0,11436,,0,1676,0,18305,110988,2,1231,0,127719,126134,155,2265,0,0,0,13447,,,18836,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11636,1204,0,2131,96100,96523,0,0,8179,40,104702,0,0,4072,,0,4060,0,12831,83270,4,1231,0,83986,83435,7,2229,0,0,0,8179,,,18854,2009-03-31
