RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
192236,39,5280,19625,0,68779,0,0,0,0,552294,0,4988,,157195,167199,42648,63381,547016,79,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13103,2003-03-31
1249,0,10,2821,0,4088,0,0,0,0,24056,0,1355,,12286,8938,2590,4078,22701,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13251,2003-03-31
280784,49,32,172053,0,196526,0,0,95000,0,1281379,0,118904,,425648,359813,101204,196409,1154950,36,7525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13309,2003-03-31
2502,0,350,1532,0,3820,0,0,0,0,11905,0,777,,5689,2438,1015,3470,11128,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13457,2003-03-31
8888,2,2847,11290,0,17410,0,0,0,0,40468,0,895,,15059,8223,2778,13442,39573,1119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14052,2003-03-31
3944,8,871,8491,0,16313,0,0,0,0,50274,0,8751,,23111,15574,3889,15434,41523,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14155,2003-03-31
17554,33,11379,81983,0,110306,0,0,0,0,308415,0,16770,,37627,195036,16362,98871,291645,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14258,2003-03-31
7705774,407,139527,1153359,0,1701723,0,0,0,0,16197102,0,686506,,2055231,5682882,602241,1547136,15510596,14653,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14409,2003-03-31
2825,0,197,1992,0,3570,0,0,4763,0,23958,0,1457,,9999,6823,1116,3373,19633,0,2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14454,2003-03-31
4214,1,2202,5158,0,10092,0,0,0,0,12723,0,412,,6614,667,1465,7889,12311,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14650,2003-03-31
4244,2,234,5064,0,6539,0,0,0,0,18009,0,2076,,9828,0,2861,6303,15933,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14753,2003-03-31
