"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	
1436473	537	0	4	0	533	0	0	
1436884	3511	165	7	0	3390	51	0	
1437199	586	83	20	0	489	6	0	
1438217	1902	78	0	0	1836	12	0	
1438589	2103	90	2	0	2028	17	0	
1439054	138	0	0	0	397	259	0	
1439308	1890	105	39	0	1887	141	0	
1439456	3272	70	50	0	3158	6	0	
1440117	1469	310	2	0	1200	43	0	
1441600	1876	75	2	0	1894	95	0	
1442661	1043	30	4	0	1032	23	0	
1443266	10	-1	0	0	11	0	0	
1444021	0	0	0	0	0	0	0	
1444580	880	31	0	0	849	0	0	
1445037	1058	319	7	0	831	99	0	
1445121	304	2	2	0	300	0	0	
1445943	8477	212	77	0	8331	143	0	
1447639	4250	157	11	0	4156	74	0	
1447853	2404	150	8	0	2270	24	0	
1448636	1027	179	25	0	994	171	0	
1450620	3621	201	0	0	3421	1	0	
1451636	775	125	0	0	650	0	0	
1455063	1665	60	0	0	1605	0	0	
1456501	466	438	4	0	24	0	0	
1457003	5142	292	44	0	4825	19	0	
1458608	3971	578	274	0	3879	760	0	
1458989	2450	26	195	0	2565	336	0	
1459034	4368	172	6	0	4244	54	0	
1459191	784	41	1	0	753	11	0	
1459575	0	0	0	0	0	0	0	
1459717	1366	0	0	0	1230	4	140	
1459735	2359	900	115	0	1970	626	0	
1459799	469	30	9	0	430	0	0	
1460290	2767	50	18	0	2699	0	0	
1462986	401	30	0	0	401	30	0	
1463086	3956	271	0	0	3686	1	0	
1463705	925	71	5	0	858	9	0	
1463983	2302	300	38	0	2107	143	0	
1464122	13026	2106	494	0	13026	2600	0	
1466489	2727	120	7	0	2655	55	0	
1469211	2297	359	0	0	638	0	1300	
1469677	1536	75	6	0	1475	20	0	
1470150	420	0	6	0	462	48	0	
1471577	1525	195	1	0	1414	85	0	
1473496	1062	31	20	0	1018	7	0	
1474309	483	58	3	0	537	115	0	
1478222	3380	166	0	0	3219	5	0	
1478231	532	8	0	0	524	0	0	
1478307	193	25	50	0	172	54	0	
