RCON0211,RCON1039,RCON1041,RCON1042,RCON1043,RCON1044,RCON1209,RCON1280,RCON1281,RCON1282,RCON1287,RCON1374,RCON1709,RCON1713,RCON1733,RCON1736,RCON1752,RCON1754,RCON1773,RCON2155,RCON2163,RCON2192,RCON2920,RCON2941,RCON3129,RCON3190,RCON3545,RCON3548,RCON8492,RCON8495,RCON8496,RCON8499,RCONA510,RCONB989,RCONB995,RCONG389,RCONG390,RCONG393,RCONG394,RCONG397,RCONG398,RCONG399,RCONG400,RCONHT71,RCONJA22,RCONJF75,IDRSSD,RCON9999
0,,,,,,,,,,0,,0,0,0,0,114,0,5481,,,,,,,356,0,0,,,0,2039,0,0,0,,,,,,,,,,,,21359,2009-03-31
0,,,,,,,,,,0,,0,0,0,1728,398,0,49345,,,,,,,4881,0,0,,,0,5860,0,0,2431,,,,,,,,,,,,21630,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,442,0,21766,,,,,,,1340,0,0,,,0,4572,0,0,0,,,,,,,,,,,,21658,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,747,0,46751,,,,,,,9986,0,0,,,0,1162,0,0,3067,,,,,,,,,,,,22048,2009-03-31
0,,,,,,,,,,0,,0,0,0,2926,932,0,53510,,,,,,,734,0,0,,,0,20393,10,0,13606,,,,,,,,,,,,22356,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,729,0,17593,,,,,,,6696,0,0,,,0,2880,0,0,826,,,,,,,,,,,,22459,2009-03-31
0,,,,,,,,,,1025,,0,0,0,0,170,0,8314,,,,,,,0,0,0,,,0,3666,0,0,0,,,,,,,,,,,,22543,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,300,429,5543,,,,,,,0,0,0,,,429,886,0,0,0,,,,,,,,,,,,22552,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,317,0,25126,,,,,,,2671,0,0,,,0,10966,0,0,3860,,,,,,,,,,,,22730,2009-03-31
0,,,,,,,,,,300,,0,0,0,0,1355,0,5961,,,,,,,16019,0,0,,,0,513,0,0,0,,,,,,,,,,,,22936,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,810,0,10381,,,,,,,10028,0,0,,,0,2046,74,0,0,,,,,,,,,,,,22954,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,0,80259,,,,,,,696,0,0,,,0,1057,0,0,8041,,,,,,,,,,,,23036,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,212,0,21093,,,,,,,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,23045,2009-03-31
0,,,,,,,,,,0,,0,0,0,28037,29137,0,538619,,,,,,,383508,0,0,,,0,87751,2693,0,187040,,,,,,,,,,,,23241,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,292,1217,12087,,,,,,,221,0,0,,,0,8116,0,0,0,,,,,,,,,,,,23456,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,880,40298,285993,,,,,,,0,0,0,,,22250,46469,0,0,15000,,,,,,,,,,,,23504,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,625,9994,61151,,,,,,,10000,0,0,,,0,33534,3116,0,0,,,,,,,,,,,,23540,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,265,300,41362,,,,,,,262,0,0,,,300,1588,0,0,0,,,,,,,,,,,,23643,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,578,0,20689,,,,,,,2000,0,0,,,0,8377,0,0,0,,,,,,,,,,,,23755,2009-03-31
