RIAD3210,RIAD3217,RIAD4356,RIAD4415,RIAD4460,RIAD4470,RIADB507,RIADB508,RIADB509,RIADB510,RIADB511,IDRSSD,RCON9999
10431,8706,0,0,601,0,0,8706,0,0,1342,344852,2019-09-30
185912,169416,0,0,0,0,0,169416,0,0,1881,345309,2019-09-30
36482,35329,0,0,2580,0,0,35329,0,0,95,345345,2019-09-30
55624,50739,0,0,988,0,29,50768,0,0,683,345747,2019-09-30
52043,46601,0,0,670,0,0,46601,0,0,1301,345756,2019-09-30
53691,49113,0,0,0,0,0,49113,101,0,1,345877,2019-09-30
14470,13580,0,0,230,0,0,13580,0,0,305,346379,2019-09-30
6258,7011,0,0,1257,0,0,7011,0,0,95,346566,2019-09-30
17687,17261,0,0,1000,0,0,17261,0,0,0,346771,2019-09-30
25634,24421,0,0,900,0,0,24421,0,0,966,347022,2019-09-30
26545,25440,0,0,0,80,0,25440,-163,-18,538,347639,2019-09-30
67723,65850,0,0,2022,0,0,65850,0,0,0,347956,2019-09-30
18510,17194,0,0,0,0,0,17194,0,0,443,348159,2019-09-30
72536,68462,0,0,3705,0,0,68462,-172,0,40,348720,2019-09-30
28258,24940,0,0,750,0,0,24940,0,0,2128,349129,2019-09-30
21202,20005,0,0,2350,0,0,20005,0,0,222,349343,2019-09-30
19848,18152,0,0,1123,0,0,18152,0,0,1195,350572,2019-09-30
3684,3434,0,0,126,0,0,3434,0,0,106,350657,2019-09-30
21602,20310,0,0,2616,0,0,20310,0,0,1,350750,2019-09-30
11007,10560,0,0,0,0,0,10560,0,0,234,351131,2019-09-30
33460,30616,0,0,0,0,0,30616,0,0,0,351560,2019-09-30
14813,13739,0,0,0,0,0,13739,0,0,659,351878,2019-09-30
24710,24325,0,0,0,0,0,24325,0,0,279,352370,2019-09-30
9062,8109,0,0,0,0,0,8109,0,0,43,352651,2019-09-30
21647,19174,0,0,1570,0,0,19174,0,0,1389,352745,2019-09-30
1556459,1508470,0,0,99720,0,0,1508470,0,0,32268,352772,2019-09-30
17224,15968,0,0,435,0,0,15968,0,0,845,352820,2019-09-30
35841,33269,0,0,2268,0,0,33269,0,0,991,353238,2019-09-30
15450,14147,0,0,91,0,0,14147,0,0,744,353546,2019-09-30
607301,553867,180334,0,203864,0,0,553867,0,0,5643,353555,2019-09-30
26423,25327,0,0,0,0,-28,25299,0,0,397,353724,2019-09-30
9830,8790,0,0,448,0,0,8790,0,0,955,353957,2019-09-30
17918,15310,0,0,1760,0,0,15310,0,0,2881,354057,2019-09-30
6602,6465,0,0,160,0,0,6465,0,0,121,354253,2019-09-30
675083,638500,0,0,22225,0,-1647,636853,0,0,5820,354310,2019-09-30
